EM pivot post est position: 193.387531762,	201.149293383,	197.009568787
Optical pivot post est position: 393.980271893,	395.552772234,	206.295357027
236.593,   183.26,   209.013,   
233.718,   186.51,   333.888,   
230.843,   189.76,   458.763,   
233.593,   308.135,   205.763,   
230.718,   311.385,   330.638,   
227.843,   314.635,   455.513,   
230.593,   433.01,   202.513,   
227.718,   436.26,   327.388,   
224.843,   439.51,   452.263,   
361.468,   186.26,   211.888,   
358.593,   189.51,   336.763,   
355.718,   192.76,   461.638,   
358.468,   311.135,   208.638,   
355.593,   314.385,   333.513,   
352.718,   317.635,   458.388,   
355.468,   436.01,   205.388,   
352.593,   439.26,   330.263,   
349.718,   442.51,   455.138,   
486.343,   189.26,   214.763,   
483.468,   192.51,   339.638,   
480.593,   195.76,   464.513,   
483.343,   314.135,   211.513,   
480.468,   317.385,   336.388,   
477.593,   320.635,   461.263,   
480.343,   439.01,   208.263,   
477.468,   442.26,   333.138,   
474.593,   445.51,   458.013,   
198.273,   205.317,   448.001,   
199.648,   205.942,   573.001,   
201.023,   206.567,   698.001,   
197.898,   330.317,   447.376,   
199.273,   330.942,   572.376,   
200.648,   331.567,   697.376,   
197.523,   455.317,   446.751,   
198.898,   455.942,   571.751,   
200.273,   456.567,   696.751,   
323.273,   205.692,   446.501,   
324.648,   206.317,   571.501,   
326.023,   206.942,   696.501,   
322.898,   330.692,   445.876,   
324.273,   331.317,   570.876,   
325.648,   331.942,   695.876,   
322.523,   455.692,   445.251,   
323.898,   456.317,   570.251,   
325.273,   456.942,   695.251,   
448.273,   206.067,   445.001,   
449.648,   206.692,   570.001,   
451.023,   207.317,   695.001,   
447.898,   331.067,   444.376,   
449.273,   331.692,   569.376,   
450.648,   332.317,   694.376,   
447.523,   456.067,   443.751,   
448.898,   456.692,   568.751,   
450.273,   457.317,   693.751,   
220.584,   431.993,   205.191,   
219.709,   433.618,   330.191,   
218.834,   435.243,   455.191,   
221.334,   556.993,   203.691,   
220.459,   558.618,   328.691,   
219.584,   560.243,   453.691,   
222.084,   681.993,   202.191,   
221.209,   683.618,   327.191,   
220.334,   685.243,   452.191,   
345.584,   431.368,   206.066,   
344.709,   432.993,   331.066,   
343.834,   434.618,   456.066,   
346.334,   556.368,   204.566,   
345.459,   557.993,   329.566,   
344.584,   559.618,   454.566,   
347.084,   681.368,   203.066,   
346.209,   682.993,   328.066,   
345.334,   684.618,   453.066,   
470.584,   430.743,   206.941,   
469.709,   432.368,   331.941,   
468.834,   433.993,   456.941,   
471.334,   555.743,   205.441,   
470.459,   557.368,   330.441,   
469.584,   558.993,   455.441,   
472.084,   680.743,   203.941,   
471.209,   682.368,   328.941,   
470.334,   683.993,   453.941,   
193.364,   437.267,   442.498,   
194.114,   439.517,   567.498,   
194.864,   441.767,   692.498,   
190.114,   562.267,   440.373,   
190.864,   564.517,   565.373,   
191.614,   566.767,   690.373,   
186.864,   687.267,   438.248,   
187.614,   689.517,   563.248,   
188.364,   691.767,   688.248,   
318.364,   440.517,   441.748,   
319.114,   442.767,   566.748,   
319.864,   445.017,   691.748,   
315.114,   565.517,   439.623,   
315.864,   567.767,   564.623,   
316.614,   570.017,   689.623,   
311.864,   690.517,   437.498,   
312.614,   692.767,   562.498,   
313.364,   695.017,   687.498,   
443.364,   443.767,   440.998,   
444.114,   446.017,   565.998,   
444.864,   448.267,   690.998,   
440.114,   568.767,   438.873,   
440.864,   571.017,   563.873,   
441.614,   573.267,   688.873,   
436.864,   693.767,   436.748,   
437.614,   696.017,   561.748,   
438.364,   698.267,   686.748,   
453.783,   188.53,   207.359,   
453.158,   191.405,   332.359,   
452.533,   194.28,   457.359,   
451.783,   313.53,   204.484,   
451.158,   316.405,   329.484,   
450.533,   319.28,   454.484,   
449.783,   438.53,   201.609,   
449.158,   441.405,   326.609,   
448.533,   444.28,   451.609,   
578.783,   190.655,   207.859,   
578.158,   193.53,   332.859,   
577.533,   196.405,   457.859,   
576.783,   315.655,   204.984,   
576.158,   318.53,   329.984,   
575.533,   321.405,   454.984,   
574.783,   440.655,   202.109,   
574.158,   443.53,   327.109,   
573.533,   446.405,   452.109,   
703.783,   192.78,   208.359,   
703.158,   195.655,   333.359,   
702.533,   198.53,   458.359,   
701.783,   317.78,   205.484,   
701.158,   320.655,   330.484,   
700.533,   323.53,   455.484,   
699.783,   442.78,   202.609,   
699.158,   445.655,   327.609,   
698.533,   448.53,   452.609,   
459.928,   216.105,   457.444,   
458.053,   216.605,   582.444,   
456.178,   217.105,   707.444,   
457.053,   341.105,   456.944,   
455.178,   341.605,   581.944,   
453.303,   342.105,   706.944,   
454.178,   466.105,   456.444,   
452.303,   466.605,   581.444,   
450.428,   467.105,   706.444,   
584.928,   219.105,   459.319,   
583.053,   219.605,   584.319,   
581.178,   220.105,   709.319,   
582.053,   344.105,   458.819,   
580.178,   344.605,   583.819,   
578.303,   345.105,   708.819,   
579.178,   469.105,   458.319,   
577.303,   469.605,   583.319,   
