EM pivot post est position: 194.154430256,	194.763436393,	198.083089292
Optical pivot post est position: 405.568631978,	404.487914604,	191.184343362
230.396,   187.374,   209.834,   
227.896,   190.124,   334.834,   
225.396,   192.874,   459.834,   
227.771,   312.374,   206.959,   
225.271,   315.124,   331.959,   
222.771,   317.874,   456.959,   
225.146,   437.374,   204.084,   
222.646,   440.124,   329.084,   
220.146,   442.874,   454.084,   
355.396,   190.124,   212.209,   
352.896,   192.874,   337.209,   
350.396,   195.624,   462.209,   
352.771,   315.124,   209.334,   
350.271,   317.874,   334.334,   
347.771,   320.624,   459.334,   
350.146,   440.124,   206.459,   
347.646,   442.874,   331.459,   
345.146,   445.624,   456.459,   
480.396,   192.874,   214.584,   
477.896,   195.624,   339.584,   
475.396,   198.374,   464.584,   
477.771,   317.874,   211.709,   
475.271,   320.624,   336.709,   
472.771,   323.374,   461.709,   
475.146,   442.874,   208.834,   
472.646,   445.624,   333.834,   
470.146,   448.374,   458.834,   
187.528,   231.73,   449.088,   
189.403,   229.605,   574.088,   
191.278,   227.48,   699.088,   
184.153,   356.605,   451.213,   
186.028,   354.48,   576.213,   
187.903,   352.355,   701.213,   
180.778,   481.48,   453.338,   
182.653,   479.355,   578.338,   
184.528,   477.23,   703.338,   
312.528,   235.105,   447.213,   
314.403,   232.98,   572.213,   
316.278,   230.855,   697.213,   
309.153,   359.98,   449.338,   
311.028,   357.855,   574.338,   
312.903,   355.73,   699.338,   
305.778,   484.855,   451.463,   
307.653,   482.73,   576.463,   
309.528,   480.605,   701.463,   
437.528,   238.48,   445.338,   
439.403,   236.355,   570.338,   
441.278,   234.23,   695.338,   
434.153,   363.355,   447.463,   
436.028,   361.23,   572.463,   
437.903,   359.105,   697.463,   
430.778,   488.23,   449.588,   
432.653,   486.105,   574.588,   
434.528,   483.98,   699.588,   
207.318,   426.164,   200.896,   
206.568,   428.914,   325.896,   
205.818,   431.664,   450.896,   
204.318,   551.039,   198.146,   
203.568,   553.789,   323.146,   
202.818,   556.539,   448.146,   
201.318,   675.914,   195.396,   
200.568,   678.664,   320.396,   
199.818,   681.414,   445.396,   
332.318,   429.164,   201.521,   
331.568,   431.914,   326.521,   
330.818,   434.664,   451.521,   
