EM pivot post est position: 191.044112252,	207.330428359,	208.091624799
Optical pivot post est position: 403.053202011,	394.360910531,	195.553082592
224.607657,   182.541965,   210.127641,   
222.747032,   185.30084,   335.030016,   
220.886407,   188.059715,   459.932391,   
221.603532,   307.45634,   207.380266,   
219.742907,   310.215215,   332.282641,   
217.882282,   312.97409,   457.185016,   
218.599407,   432.370715,   204.632891,   
216.738782,   435.12959,   329.535266,   
214.878157,   437.888465,   454.437641,   
349.498532,   185.52934,   211.902266,   
347.637907,   188.288215,   336.804641,   
345.777282,   191.04709,   461.707016,   
346.494407,   310.443715,   209.154891,   
344.633782,   313.20259,   334.057266,   
342.773157,   315.961465,   458.959641,   
343.490282,   435.35809,   206.407516,   
341.629657,   438.116965,   331.309891,   
339.769032,   440.87584,   456.212266,   
474.389407,   188.516715,   213.676891,   
472.528782,   191.27559,   338.579266,   
470.668157,   194.034465,   463.481641,   
471.385282,   313.43109,   210.929516,   
469.524657,   316.189965,   335.831891,   
467.664032,   318.94884,   460.734266,   
468.381157,   438.345465,   208.182141,   
466.520532,   441.10434,   333.084516,   
464.659907,   443.863215,   457.986891,   
217.572442,   236.13319,   450.936686,   
216.935817,   233.38769,   575.848436,   
216.299192,   230.64219,   700.760186,   
216.478942,   361.15869,   453.700186,   
215.842317,   358.41319,   578.611936,   
215.205692,   355.66769,   703.523686,   
215.385442,   486.18419,   456.463686,   
214.748817,   483.43869,   581.375436,   
214.112192,   480.69319,   706.287186,   
342.592692,   237.26869,   451.552686,   
341.956067,   234.52319,   576.464436,   
341.319442,   231.77769,   701.376186,   
341.499192,   362.29419,   454.316186,   
340.862567,   359.54869,   579.227936,   
340.225942,   356.80319,   704.139686,   
340.405692,   487.31969,   457.079686,   
339.769067,   484.57419,   581.991436,   
339.132442,   481.82869,   706.903186,   
467.612942,   238.40419,   452.168686,   
466.976317,   235.65869,   577.080436,   
466.339692,   232.91319,   701.992186,   
466.519442,   363.42969,   454.932186,   
465.882817,   360.68419,   579.843936,   
465.246192,   357.93869,   704.755686,   
465.425942,   488.45519,   457.695686,   
464.789317,   485.70969,   582.607436,   
464.152692,   482.96419,   707.519186,   
235.389996,   430.344986,   207.119578,   
233.750996,   432.205986,   332.127578,   
232.111996,   434.066986,   457.135578,   
237.758996,   555.369736,   205.234828,   
236.119996,   557.230736,   330.242828,   
