EM pivot post est position: 200.89771887,	202.102926542,	197.922641327
Optical pivot post est position: 395.743227272,	398.688726407,	202.57672188
190.387818,   229.421694,   214.981492,   
192.620943,   226.764194,   339.996242,   
194.854068,   224.106694,   465.010992,   
193.498818,   354.391194,   217.497492,   
195.731943,   351.733694,   342.512242,   
197.965068,   349.076194,   467.526992,   
196.609818,   479.360694,   220.013492,   
198.842943,   476.703194,   345.028242,   
201.076068,   474.045694,   470.042992,   
315.396818,   226.191944,   212.594492,   
317.629943,   223.534444,   337.609242,   
319.863068,   220.876944,   462.623992,   
318.507818,   351.161444,   215.110492,   
320.740943,   348.503944,   340.125242,   
322.974068,   345.846444,   465.139992,   
321.618818,   476.130944,   217.626492,   
323.851943,   473.473444,   342.641242,   
326.085068,   470.815944,   467.655992,   
440.405818,   222.962194,   210.207492,   
442.638943,   220.304694,   335.222242,   
444.872068,   217.647194,   460.236992,   
443.516818,   347.931694,   212.723492,   
445.749943,   345.274194,   337.738242,   
447.983068,   342.616694,   462.752992,   
446.627818,   472.901194,   215.239492,   
448.860943,   470.243694,   340.254242,   
451.094068,   467.586194,   465.268992,   
200.428192,   212.350401,   446.715694,   
201.548192,   212.468526,   571.727444,   
202.668192,   212.586651,   696.739194,   
200.801192,   337.360651,   446.590194,   
201.921192,   337.478776,   571.601944,   
203.041192,   337.596901,   696.613694,   
201.174192,   462.370901,   446.464694,   
202.294192,   462.489026,   571.476444,   
203.414192,   462.607151,   696.488194,   
325.432817,   212.088026,   445.587319,   
326.552817,   212.206151,   570.599069,   
327.672817,   212.324276,   695.610819,   
325.805817,   337.098276,   445.461819,   
326.925817,   337.216401,   570.473569,   
328.045817,   337.334526,   695.485319,   
326.178817,   462.108526,   445.336319,   
327.298817,   462.226651,   570.348069,   
328.418817,   462.344776,   695.359819,   
450.437442,   211.825651,   444.458944,   
451.557442,   211.943776,   569.470694,   
452.677442,   212.061901,   694.482444,   
450.810442,   336.835901,   444.333444,   
451.930442,   336.954026,   569.345194,   
453.050442,   337.072151,   694.356944,   
451.183442,   461.846151,   444.207944,   
452.303442,   461.964276,   569.219694,   
453.423442,   462.082401,   694.231444,   
252.243939,   446.844266,   211.818065,   
249.991314,   446.617891,   336.848815,   
247.738689,   446.391516,   461.879565,   
255.873439,   571.825516,   212.168315,   
253.620814,   571.599141,   337.199065,   
251.368189,   571.372766,   462.229815,   
259.502939,   696.806766,   212.518565,   
257.250314,   696.580391,   337.549315,   
254.997689,   696.354016,   462.580065,   
377.130064,   443.223516,   214.07194,   
374.877439,   442.997141,   339.10269,   
372.624814,   442.770766,   464.13344,   
380.759564,   568.204766,   214.42219,   
378.506939,   567.978391,   339.45294,   
376.254314,   567.752016,   464.48369,   
384.389064,   693.186016,   214.77244,   
382.136439,   692.959641,   339.80319,   
379.883814,   692.733266,   464.83394,   
502.016189,   439.602766,   216.325815,   
499.763564,   439.376391,   341.356565,   
497.510939,   439.150016,   466.387315,   
505.645689,   564.584016,   216.676065,   
503.393064,   564.357641,   341.706815,   
501.140439,   564.131266,   466.737565,   
509.275189,   689.565266,   217.026315,   
507.022564,   689.338891,   342.057065,   
504.769939,   689.112516,   467.087815,   
198.779142,   424.277901,   439.330559,   
202.037017,   426.396526,   564.321934,   
205.294892,   428.515151,   689.313309,   
201.880517,   549.280151,   437.180809,   
205.138392,   551.398776,   562.172184,   
208.396267,   553.517401,   687.163559,   
204.981892,   674.282401,   435.031059,   
208.239767,   676.401026,   560.022434,   
211.497642,   678.519651,   685.013809,   
323.751392,   421.036401,   436.069059,   
327.009267,   423.155026,   561.060434,   
330.267142,   425.273651,   686.051809,   
326.852767,   546.038651,   433.919309,   
330.110642,   548.157276,   558.910684,   
333.368517,   550.275901,   683.902059,   
329.954142,   671.040901,   431.769559,   
333.212017,   673.159526,   556.760934,   
336.469892,   675.278151,   681.752309,   
448.723642,   417.794901,   432.807559,   
451.981517,   419.913526,   557.798934,   
455.239392,   422.032151,   682.790309,   
451.825017,   542.797151,   430.657809,   
455.082892,   544.915776,   555.649184,   
458.340767,   547.034401,   680.640559,   
454.926392,   667.799401,   428.508059,   
458.184267,   669.918026,   553.499434,   
461.442142,   672.036651,   678.490809,   
479.61901,   217.445807,   223.771233,   
476.24626,   217.313307,   348.757483,   
472.87351,   217.180807,   473.743733,   
478.48876,   342.447307,   223.890983,   
475.11601,   342.314807,   348.877233,   
471.74326,   342.182307,   473.863483,   
477.35851,   467.448807,   224.010733,   
473.98576,   467.316307,   348.996983,   
470.61301,   467.183807,   473.983233,   
604.59926,   218.583307,   227.142483,   
601.22651,   218.450807,   352.128733,   
597.85376,   218.318307,   477.114983,   
603.46901,   343.584807,   227.262233,   
600.09626,   343.452307,   352.248483,   
596.72351,   343.319807,   477.234733,   
602.33876,   468.586307,   227.381983,   
598.96601,   468.453807,   352.368233,   
595.59326,   468.321307,   477.354483,   
729.57951,   219.720807,   230.513733,   
726.20676,   219.588307,   355.499983,   
722.83401,   219.455807,   480.486233,   
728.44926,   344.722307,   230.633483,   
725.07651,   344.589807,   355.619733,   
721.70376,   344.457307,   480.605983,   
727.31901,   469.723807,   230.753233,   
723.94626,   469.591307,   355.739483,   
720.57351,   469.458807,   480.725733,   
436.28619,   230.823302,   454.754791,   
438.17769,   227.212552,   579.747416,   
440.06919,   223.601802,   704.740041,   
438.77594,   355.698552,   458.395166,   
440.66744,   352.087802,   583.387791,   
442.55894,   348.477052,   708.380416,   
441.26569,   480.573802,   462.035541,   
443.15719,   476.963052,   587.028166,   
445.04869,   473.352302,   712.020791,   
561.18994,   228.465052,   452.857291,   
563.08144,   224.854302,   577.849916,   
564.97294,   221.243552,   702.842541,   
563.67969,   353.340302,   456.497666,   
565.57119,   349.729552,   581.490291,   
567.46269,   346.118802,   706.482916,   
566.16944,   478.215552,   460.138041,   
568.06094,   474.604802,   585.130666,   
569.95244,   470.994052,   710.123291,   
686.09369,   226.106802,   450.959791,   
687.98519,   222.496052,   575.952416,   
689.87669,   218.885302,   700.945041,   
688.58344,   350.982052,   454.600166,   
690.47494,   347.371302,   579.592791,   
692.36644,   343.760552,   704.585416,   
691.07319,   475.857302,   458.240541,   
692.96469,   472.246552,   583.233166,   
694.85619,   468.635802,   708.225791,   
463.747677,   452.13665,   208.650123,   
462.738927,   451.77215,   333.664873,   
461.730177,   451.40765,   458.679623,   
463.377677,   577.15415,   209.030123,   
462.368927,   576.78965,   334.044873,   
461.360177,   576.42515,   459.059623,   
463.007677,   702.17165,   209.410123,   
461.998927,   701.80715,   334.424873,   
460.990177,   701.44265,   459.439623,   
588.762927,   452.523025,   209.766373,   
587.754177,   452.158525,   334.781123,   
586.745427,   451.794025,   459.795873,   
588.392927,   577.540525,   210.146373,   
587.384177,   577.176025,   335.161123,   
586.375427,   576.811525,   460.175873,   
588.022927,   702.558025,   210.526373,   
587.014177,   702.193525,   335.541123,   
586.005427,   701.829025,   460.555873,   
713.778177,   452.9094,   210.882623,   
712.769427,   452.5449,   335.897373,   
711.760677,   452.1804,   460.912123,   
713.408177,   577.9269,   211.262623,   
712.399427,   577.5624,   336.277373,   
711.390677,   577.1979,   461.292123,   
713.038177,   702.9444,   211.642623,   
712.029427,   702.5799,   336.657373,   
711.020677,   702.2154,   461.672123,   
434.607485,   491.620027,   456.765909,   
435.493735,   488.119277,   581.775659,   
436.379985,   484.618527,   706.785409,   
431.89161,   616.495402,   460.287534,   
432.77786,   612.994652,   585.297284,   
433.66411,   609.493902,   710.307034,   
429.175735,   741.370777,   463.809159,   
430.061985,   737.870027,   588.818909,   
430.948235,   734.369277,   713.828659,   
559.60261,   494.370527,   455.886159,   
560.48886,   490.869777,   580.895909,   
561.37511,   487.369027,   705.905659,   
556.886735,   619.245902,   459.407784,   
557.772985,   615.745152,   584.417534,   
558.659235,   612.244402,   709.427284,   
554.17086,   744.121277,   462.929409,   
555.05711,   740.620527,   587.939159,   
555.94336,   737.119777,   712.948909,   
684.597735,   497.121027,   455.006409,   
685.483985,   493.620277,   580.016159,   
686.370235,   490.119527,   705.025909,   
681.88186,   621.996402,   458.528034,   
682.76811,   618.495652,   583.537784,   
683.65436,   614.994902,   708.547534,   
679.165985,   746.871777,   462.049659,   
680.052235,   743.371027,   587.059409,   
680.938485,   739.870277,   712.069159,   
