EM pivot post est position: 188.237677858,	231.994435316,	215.170342891
Optical pivot post est position: 398.694483019,	393.650335695,	203.850782157
209.382542,   212.548695,   213.620836,   
209.506417,   212.16357,   338.629586,   
209.630292,   211.778445,   463.638336,   
208.881542,   337.56307,   213.982836,   
209.005417,   337.177945,   338.991586,   
209.129292,   336.79282,   464.000336,   
208.380542,   462.577445,   214.344836,   
208.504417,   462.19232,   339.353586,   
208.628292,   461.807195,   464.362336,   
334.406167,   213.050945,   213.499086,   
334.530042,   212.66582,   338.507836,   
334.653917,   212.280695,   463.516586,   
333.905167,   338.06532,   213.861086,   
334.029042,   337.680195,   338.869836,   
334.152917,   337.29507,   463.878586,   
333.404167,   463.079695,   214.223086,   
333.528042,   462.69457,   339.231836,   
333.651917,   462.309445,   464.240586,   
459.429792,   213.553195,   213.377336,   
459.553667,   213.16807,   338.386086,   
459.677542,   212.782945,   463.394836,   
458.928792,   338.56757,   213.739336,   
459.052667,   338.182445,   338.748086,   
459.176542,   337.79732,   463.756836,   
458.427792,   463.581945,   214.101336,   
458.551667,   463.19682,   339.110086,   
458.675542,   462.811695,   464.118836,   
219.233362,   206.631724,   453.207356,   
218.481362,   206.628724,   578.211606,   
217.729362,   206.625724,   703.215856,   
221.231112,   331.624224,   453.217356,   
220.479112,   331.621224,   578.221606,   
219.727112,   331.618224,   703.225856,   
223.228862,   456.616724,   453.227356,   
222.476862,   456.613724,   578.231606,   
221.724862,   456.610724,   703.235856,   
344.228737,   204.630974,   454.084356,   
343.476737,   204.627974,   579.088606,   
342.724737,   204.624974,   704.092856,   
346.226487,   329.623474,   454.094356,   
345.474487,   329.620474,   579.098606,   
344.722487,   329.617474,   704.102856,   
348.224237,   454.615974,   454.104356,   
347.472237,   454.612974,   579.108606,   
346.720237,   454.609974,   704.112856,   
469.224112,   202.630224,   454.961356,   
468.472112,   202.627224,   579.965606,   
467.720112,   202.624224,   704.969856,   
471.221862,   327.622724,   454.971356,   
470.469862,   327.619724,   579.975606,   
469.717862,   327.616724,   704.979856,   
473.219612,   452.615224,   454.981356,   
472.467612,   452.612224,   579.985606,   
471.715612,   452.609224,   704.989856,   
198.581026,   410.307232,   189.059779,   
200.950526,   413.935232,   314.030029,   
203.320026,   417.563232,   439.000279,   
201.812026,   535.169982,   185.411154,   
204.181526,   538.797982,   310.381404,   
206.551026,   542.425982,   435.351654,   
205.043026,   660.032732,   181.762529,   
207.412526,   663.660732,   306.732779,   
209.782026,   667.288732,   431.703029,   
323.577776,   406.921732,   186.710154,   
325.947276,   410.549732,   311.680404,   
328.316776,   414.177732,   436.650654,   
326.808776,   531.784482,   183.061529,   
329.178276,   535.412482,   308.031779,   
331.547776,   539.040482,   433.002029,   
330.039776,   656.647232,   179.412904,   
332.409276,   660.275232,   304.383154,   
334.778776,   663.903232,   429.353404,   
448.574526,   403.536232,   184.360529,   
450.944026,   407.164232,   309.330779,   
453.313526,   410.792232,   434.301029,   
451.805526,   528.398982,   180.711904,   
454.175026,   532.026982,   305.682154,   
456.544526,   535.654982,   430.652404,   
455.036526,   653.261732,   177.063279,   
457.406026,   656.889732,   302.033529,   
459.775526,   660.517732,   427.003779,   
237.44924,   452.273269,   456.833582,   
235.32599,   451.518019,   581.844957,   
233.20274,   450.762769,   706.856332,   
239.82774,   577.279394,   457.573082,   
237.70449,   576.524144,   582.584457,   
235.58124,   575.768894,   707.595832,   
242.20624,   702.285519,   458.312582,   
240.08299,   701.530269,   583.323957,   
237.95974,   700.775019,   708.335332,   
362.46499,   449.900894,   458.961207,   
360.34174,   449.145644,   583.972582,   
358.21849,   448.390394,   708.983957,   
364.84349,   574.907019,   459.700707,   
362.72024,   574.151769,   584.712082,   
360.59699,   573.396519,   709.723457,   
367.22199,   699.913144,   460.440207,   
365.09874,   699.157894,   585.451582,   
362.97549,   698.402644,   710.462957,   
487.48074,   447.528519,   461.088832,   
485.35749,   446.773269,   586.100207,   
483.23424,   446.018019,   711.111582,   
489.85924,   572.534644,   461.828332,   
487.73599,   571.779394,   586.839707,   
485.61274,   571.024144,   711.851082,   
492.23774,   697.540769,   462.567832,   
490.11449,   696.785519,   587.579207,   
487.99124,   696.030269,   712.590582,   
475.161037,   226.865329,   217.809038,   
473.021162,   224.886329,   342.832163,   
470.881287,   222.907329,   467.855288,   
475.925912,   351.868329,   219.809913,   
473.786037,   349.889329,   344.833038,   
471.646162,   347.910329,   469.856163,   
476.690787,   476.871329,   221.810788,   
474.550912,   474.892329,   346.833913,   
472.411037,   472.913329,   471.857038,   
600.182912,   226.118329,   219.933913,   
598.043037,   224.139329,   344.957038,   
595.903162,   222.160329,   469.980163,   
600.947787,   351.121329,   221.934788,   
598.807912,   349.142329,   346.957913,   
596.668037,   347.163329,   471.981038,   
601.712662,   476.124329,   223.935663,   
599.572787,   474.145329,   348.958788,   
597.432912,   472.166329,   473.981913,   
725.204787,   225.371329,   222.058788,   
723.064912,   223.392329,   347.081913,   
720.925037,   221.413329,   472.105038,   
725.969662,   350.374329,   224.059663,   
723.829787,   348.395329,   349.082788,   
721.689912,   346.416329,   474.105913,   
726.734537,   475.377329,   226.060538,   
724.594662,   473.398329,   351.083663,   
722.454787,   471.419329,   476.106788,   
452.819224,   229.081216,   452.979038,   
452.069724,   228.324216,   577.992413,   
451.320224,   227.567216,   703.005788,   
449.194224,   354.068716,   453.629038,   
448.444724,   353.311716,   578.642413,   
447.695224,   352.554716,   703.655788,   
445.569224,   479.056216,   454.279038,   
444.819724,   478.299216,   579.292413,   
444.070224,   477.542216,   704.305788,   
577.820724,   232.697466,   453.744663,   
577.071224,   231.940466,   578.758038,   
576.321724,   231.183466,   703.771413,   
574.195724,   357.684966,   454.394663,   
573.446224,   356.927966,   579.408038,   
572.696724,   356.170966,   704.421413,   
570.570724,   482.672466,   455.044663,   
569.821224,   481.915466,   580.058038,   
569.071724,   481.158466,   705.071413,   
702.822224,   236.313716,   454.510288,   
702.072724,   235.556716,   579.523663,   
701.323224,   234.799716,   704.537038,   
699.197224,   361.301216,   455.160288,   
698.447724,   360.544216,   580.173663,   
697.698224,   359.787216,   705.187038,   
695.572224,   486.288716,   455.810288,   
694.822724,   485.531716,   580.823663,   
694.073224,   484.774716,   705.837038,   
433.573608,   485.787272,   208.967592,   
433.963608,   483.784772,   333.995092,   
434.353608,   481.782272,   459.022592,   
430.969608,   610.801272,   210.981592,   
431.359608,   608.798772,   336.009092,   
431.749608,   606.796272,   461.036592,   
428.365608,   735.815272,   212.995592,   
428.755608,   733.812772,   338.023092,   
429.145608,   731.810272,   463.050592,   
558.567108,   488.416272,   208.576592,   
558.957108,   486.413772,   333.604092,   
