EM pivot post est position: 191.737508823,	200.480586511,	198.216658492
Optical pivot post est position: 401.596604796,	392.026898322,	191.573635015
220.032,   187.272,   207.49,   
219.407,   189.397,   332.49,   
218.782,   191.522,   457.49,   
220.907,   312.272,   205.365,   
220.282,   314.397,   330.365,   
219.657,   316.522,   455.365,   
221.782,   437.272,   203.24,   
221.157,   439.397,   328.24,   
220.532,   441.522,   453.24,   
345.032,   186.397,   208.115,   
344.407,   188.522,   333.115,   
343.782,   190.647,   458.115,   
345.907,   311.397,   205.99,   
345.282,   313.522,   330.99,   
344.657,   315.647,   455.99,   
346.782,   436.397,   203.865,   
346.157,   438.522,   328.865,   
345.532,   440.647,   453.865,   
470.032,   185.522,   208.74,   
469.407,   187.647,   333.74,   
468.782,   189.772,   458.74,   
470.907,   310.522,   206.615,   
470.282,   312.647,   331.615,   
469.657,   314.772,   456.615,   
471.782,   435.522,   204.49,   
471.157,   437.647,   329.49,   
470.532,   439.772,   454.49,   
230.855,   210.472,   455.111,   
228.355,   210.597,   580.111,   
225.855,   210.722,   705.111,   
229.855,   335.472,   454.986,   
227.355,   335.597,   579.986,   
224.855,   335.722,   704.986,   
228.855,   460.472,   454.861,   
226.355,   460.597,   579.861,   
223.855,   460.722,   704.861,   
355.855,   211.472,   457.611,   
353.355,   211.597,   582.611,   
350.855,   211.722,   707.611,   
354.855,   336.472,   457.486,   
352.355,   336.597,   582.486,   
349.855,   336.722,   707.486,   
353.855,   461.472,   457.361,   
351.355,   461.597,   582.361,   
348.855,   461.722,   707.361,   
480.855,   212.472,   460.111,   
478.355,   212.597,   585.111,   
475.855,   212.722,   710.111,   
479.855,   337.472,   459.986,   
477.355,   337.597,   584.986,   
474.855,   337.722,   709.986,   
478.855,   462.472,   459.861,   
476.355,   462.597,   584.861,   
473.855,   462.722,   709.861,   
236.869,   470.696,   222.376,   
233.619,   468.946,   347.376,   
230.369,   467.196,   472.376,   
235.619,   595.696,   224.126,   
232.369,   593.946,   349.126,   
229.119,   592.196,   474.126,   
234.369,   720.696,   225.876,   
231.119,   718.946,   350.876,   
227.869,   717.196,   475.876,   
361.869,   471.946,   225.626,   
358.619,   470.196,   350.626,   
355.369,   468.446,   475.626,   
360.619,   596.946,   227.376,   
357.369,   595.196,   352.376,   
354.119,   593.446,   477.376,   
359.369,   721.946,   229.126,   
356.119,   720.196,   354.126,   
352.869,   718.446,   479.126,   
486.869,   473.196,   228.876,   
483.619,   471.446,   353.876,   
480.369,   469.696,   478.876,   
485.619,   598.196,   230.626,   
482.369,   596.446,   355.626,   
479.119,   594.696,   480.626,   
484.369,   723.196,   232.376,   
481.119,   721.446,   357.376,   
477.869,   719.696,   482.376,   
182.966,   434.9,   439.381,   
186.591,   436.4,   564.381,   
190.216,   437.9,   689.381,   
183.966,   559.9,   437.881,   
187.591,   561.4,   562.881,   
191.216,   562.9,   687.881,   
184.966,   684.9,   436.381,   
188.591,   686.4,   561.381,   
192.216,   687.9,   686.381,   
307.966,   433.775,   435.756,   
311.591,   435.275,   560.756,   
315.216,   436.775,   685.756,   
308.966,   558.775,   434.256,   
312.591,   560.275,   559.256,   
316.216,   561.775,   684.256,   
309.966,   683.775,   432.756,   
313.591,   685.275,   557.756,   
317.216,   686.775,   682.756,   
432.966,   432.65,   432.131,   
436.591,   434.15,   557.131,   
440.216,   435.65,   682.131,   
433.966,   557.65,   430.631,   
437.591,   559.15,   555.631,   
441.216,   560.65,   680.631,   
434.966,   682.65,   429.131,   
438.591,   684.15,   554.131,   
442.216,   685.65,   679.131,   
418.012,   249.194,   205.693,   
421.262,   245.694,   330.568,   
424.512,   242.194,   455.443,   
417.762,   374.194,   209.193,   
421.012,   370.694,   334.068,   
424.262,   367.194,   458.943,   
417.512,   499.194,   212.693,   
420.762,   495.694,   337.568,   
424.012,   492.194,   462.443,   
543.012,   249.569,   202.568,   
546.262,   246.069,   327.443,   
549.512,   242.569,   452.318,   
542.762,   374.569,   206.068,   
546.012,   371.069,   330.943,   
549.262,   367.569,   455.818,   
542.512,   499.569,   209.568,   
545.762,   496.069,   334.443,   
549.012,   492.569,   459.318,   
668.012,   249.944,   199.443,   
671.262,   246.444,   324.318,   
674.512,   242.944,   449.193,   
667.762,   374.944,   202.943,   
671.012,   371.444,   327.818,   
674.262,   367.944,   452.693,   
667.512,   499.944,   206.443,   
670.762,   496.444,   331.318,   
674.012,   492.944,   456.193,   
415.449,   196.946,   434.531,   
418.824,   199.946,   559.406,   
422.199,   202.946,   684.281,   
411.949,   321.821,   431.531,   
415.324,   324.821,   556.406,   
418.699,   327.821,   681.281,   
408.449,   446.696,   428.531,   
411.824,   449.696,   553.406,   
415.199,   452.696,   678.281,   
540.324,   200.321,   431.156,   
543.699,   203.321,   556.031,   
547.074,   206.321,   680.906,   
536.824,   325.196,   428.156,   
540.199,   328.196,   553.031,   
543.574,   331.196,   677.906,   
533.324,   450.071,   425.156,   
536.699,   453.071,   550.031,   
540.074,   456.071,   674.906,   
665.199,   203.696,   427.781,   
668.574,   206.696,   552.656,   
671.949,   209.696,   677.531,   
661.699,   328.571,   424.781,   
665.074,   331.571,   549.656,   
668.449,   334.571,   674.531,   
658.199,   453.446,   421.781,   
661.574,   456.446,   546.656,   
664.949,   459.446,   671.531,   
472.42,   447.432,   215.401,   
469.92,   448.182,   340.401,   
467.42,   448.932,   465.401,   
471.42,   572.432,   214.651,   
468.92,   573.182,   339.651,   
466.42,   573.932,   464.651,   
470.42,   697.432,   213.901,   
467.92,   698.182,   338.901,   
465.42,   698.932,   463.901,   
597.42,   448.432,   217.901,   
594.92,   449.182,   342.901,   
592.42,   449.932,   467.901,   
596.42,   573.432,   217.151,   
593.92,   574.182,   342.151,   
591.42,   574.932,   467.151,   
