EM pivot post est position: 195.848629333,	202.862083536,	207.289014134
Optical pivot post est position: 401.363475284,	408.897778303,	211.350546717
194.567136,   221.259334,   211.27862,   
196.316636,   219.882834,   336.27212,   
198.066136,   218.506334,   461.26562,   
194.943136,   346.255584,   212.65312,   
196.692636,   344.879084,   337.64662,   
198.442136,   343.502584,   462.64012,   
195.319136,   471.251834,   214.02762,   
197.068636,   469.875334,   339.02112,   
198.818136,   468.498834,   464.01462,   
319.563886,   220.894834,   209.52687,   
321.313386,   219.518334,   334.52037,   
323.062886,   218.141834,   459.51387,   
319.939886,   345.891084,   210.90137,   
321.689386,   344.514584,   335.89487,   
323.438886,   343.138084,   460.88837,   
320.315886,   470.887334,   212.27587,   
322.065386,   469.510834,   337.26937,   
323.814886,   468.134334,   462.26287,   
444.560636,   220.530334,   207.77512,   
446.310136,   219.153834,   332.76862,   
448.059636,   217.777334,   457.76212,   
444.936636,   345.526584,   209.14962,   
446.686136,   344.150084,   334.14312,   
448.435636,   342.773584,   459.13662,   
445.312636,   470.522834,   210.52412,   
447.062136,   469.146334,   335.51762,   
448.811636,   467.769834,   460.51112,   
226.046597,   233.527212,   458.42429,   
223.900597,   231.034712,   583.44354,   
221.754597,   228.542212,   708.46279,   
226.647097,   358.555962,   460.923415,   
224.501097,   356.063462,   585.942665,   
222.355097,   353.570962,   710.961915,   
227.247597,   483.584712,   463.42254,   
225.101597,   481.092212,   588.44179,   
222.955597,   478.599712,   713.46104,   
351.038597,   232.912212,   460.54829,   
348.892597,   230.419712,   585.56754,   
346.746597,   227.927212,   710.58679,   
351.639097,   357.940962,   463.047415,   
349.493097,   355.448462,   588.066665,   
347.347097,   352.955962,   713.085915,   
352.239597,   482.969712,   465.54654,   
350.093597,   480.477212,   590.56579,   
347.947597,   477.984712,   715.58504,   
476.030597,   232.297212,   462.67229,   
473.884597,   229.804712,   587.69154,   
471.738597,   227.312212,   712.71079,   
476.631097,   357.325962,   465.171415,   
474.485097,   354.833462,   590.190665,   
472.339097,   352.340962,   715.209915,   
477.231597,   482.354712,   467.67054,   
475.085597,   479.862212,   592.68979,   
472.939597,   477.369712,   717.70904,   
181.91099,   461.258413,   211.367578,   
185.029115,   459.861288,   336.289578,   
188.14724,   458.464163,   461.211578,   
183.64474,   586.256038,   212.753828,   
186.762865,   584.858913,   337.675828,   
189.88099,   583.461788,   462.597828,   
185.37849,   711.253663,   214.140078,   
188.496615,   709.856538,   339.062078,   
191.61474,   708.459413,   463.984078,   
306.824115,   459.500288,   208.243578,   
309.94224,   458.103163,   333.165578,   
313.060365,   456.706038,   458.087578,   
308.557865,   584.497913,   209.629828,   
311.67599,   583.100788,   334.551828,   
314.794115,   581.703663,   459.473828,   
310.291615,   709.495538,   211.016078,   
313.40974,   708.098413,   335.938078,   
316.527865,   706.701288,   460.860078,   
431.73724,   457.742163,   205.119578,   
434.855365,   456.345038,   330.041578,   
437.97349,   454.947913,   454.963578,   
433.47099,   582.739788,   206.505828,   
436.589115,   581.342663,   331.427828,   
439.70724,   579.945538,   456.349828,   
435.20474,   707.737413,   207.892078,   
438.322865,   706.340288,   332.814078,   
441.44099,   704.943163,   457.736078,   
209.006724,   428.183154,   447.02689,   
210.639599,   429.678654,   572.049015,   
212.272474,   431.174154,   697.07114,   
212.004099,   553.198904,   445.524265,   
213.636974,   554.694404,   570.54639,   
215.269849,   556.189904,   695.568515,   
215.001474,   678.214654,   444.02164,   
216.634349,   679.710154,   569.043765,   
218.267224,   681.205654,   694.06589,   
333.996974,   425.071654,   445.37714,   
335.629849,   426.567154,   570.399265,   
337.262724,   428.062654,   695.42139,   
336.994349,   550.087404,   443.874515,   
338.627224,   551.582904,   568.89664,   
340.260099,   553.078404,   693.918765,   
339.991724,   675.103154,   442.37189,   
341.624599,   676.598654,   567.394015,   
343.257474,   678.094154,   692.41614,   
458.987224,   421.960154,   443.72739,   
460.620099,   423.455654,   568.749515,   
462.252974,   424.951154,   693.77164,   
461.984599,   546.975904,   442.224765,   
463.617474,   548.471404,   567.24689,   
465.250349,   549.966904,   692.269015,   
464.981974,   671.991654,   440.72214,   
466.614849,   673.487154,   565.744265,   
468.247724,   674.982654,   690.76639,   
455.232812,   171.702368,   207.747408,   
454.970062,   174.581118,   332.739033,   
454.707312,   177.459868,   457.730658,   
458.873437,   296.590868,   204.903783,   
458.610687,   299.469618,   329.895408,   
