EM pivot post est position: 202.256751171,	200.611105439,	208.074563464
Optical pivot post est position: 400.703975846,	400.345851647,	193.504260588
230.26898,   175.36862,   210.16328,   
228.12448,   178.86037,   335.14853,   
225.97998,   182.35212,   460.13378,   
229.66348,   300.36287,   206.66403,   
227.51898,   303.85462,   331.64928,   
225.37448,   307.34637,   456.63453,   
229.05798,   425.35712,   203.16478,   
226.91348,   428.84887,   328.15003,   
224.76898,   432.34062,   453.13528,   
355.26073,   176.12137,   212.28828,   
353.11623,   179.61312,   337.27353,   
350.97173,   183.10487,   462.25878,   
354.65523,   301.11562,   208.78903,   
352.51073,   304.60737,   333.77428,   
350.36623,   308.09912,   458.75953,   
354.04973,   426.10987,   205.28978,   
351.90523,   429.60162,   330.27503,   
349.76073,   433.09337,   455.26028,   
480.25248,   176.87412,   214.41328,   
478.10798,   180.36587,   339.39853,   
475.96348,   183.85762,   464.38378,   
479.64698,   301.86837,   210.91403,   
477.50248,   305.36012,   335.89928,   
475.35798,   308.85187,   460.88453,   
479.04148,   426.86262,   207.41478,   
476.89698,   430.35437,   332.40003,   
474.75248,   433.84612,   457.38528,   
183.430734,   203.006976,   445.340142,   
186.296984,   204.163226,   570.344642,   
189.163234,   205.319476,   695.349142,   
184.057484,   328.023976,   444.218892,   
186.923734,   329.180226,   569.223392,   
189.789984,   330.336476,   694.227892,   
184.684234,   453.040976,   443.097642,   
187.550484,   454.197226,   568.102142,   
190.416734,   455.353476,   693.106642,   
308.456984,   202.250726,   442.469142,   
311.323234,   203.406976,   567.473642,   
314.189484,   204.563226,   692.478142,   
309.083734,   327.267726,   441.347892,   
311.949984,   328.423976,   566.352392,   
314.816234,   329.580226,   691.356892,   
309.710484,   452.284726,   440.226642,   
312.576734,   453.440976,   565.231142,   
315.442984,   454.597226,   690.235642,   
433.483234,   201.494476,   439.598142,   
436.349484,   202.650726,   564.602642,   
439.215734,   203.806976,   689.607142,   
434.109984,   326.511476,   438.476892,   
436.976234,   327.667726,   563.481392,   
439.842484,   328.823976,   688.485892,   
434.736734,   451.528476,   437.355642,   
437.602984,   452.684726,   562.360142,   
440.469234,   453.840976,   687.364642,   
238.663379,   412.699518,   208.759413,   
235.565754,   416.217018,   333.662163,   
232.468129,   419.734518,   458.564913,   
237.301129,   537.623268,   205.252038,   
234.203504,   541.140768,   330.154788,   
231.105879,   544.658268,   455.057538,   
235.938879,   662.547018,   201.744663,   
232.841254,   666.064518,   326.647413,   
229.743629,   669.582018,   451.550163,   
363.669004,   414.178518,   211.777413,   
360.571379,   417.696018,   336.680163,   
357.473754,   421.213518,   461.582913,   
362.306754,   539.102268,   208.270038,   
359.209129,   542.619768,   333.172788,   
356.111504,   546.137268,   458.075538,   
360.944504,   664.026018,   204.762663,   
357.846879,   667.543518,   329.665413,   
354.749254,   671.061018,   454.568163,   
488.674629,   415.657518,   214.795413,   
485.577004,   419.175018,   339.698163,   
482.479379,   422.692518,   464.600913,   
487.312379,   540.581268,   211.288038,   
484.214754,   544.098768,   336.190788,   
481.117129,   547.616268,   461.093538,   
485.950129,   665.505018,   207.780663,   
482.852504,   669.022518,   332.683413,   
479.754879,   672.540018,   457.586163,   
224.364785,   451.040231,   453.517933,   
222.241035,   450.932106,   578.552433,   
220.117285,   450.823981,   703.586933,   
221.361035,   576.059481,   453.554183,   
219.237285,   575.951356,   578.588683,   
217.113535,   575.843231,   703.623183,   
218.357285,   701.078731,   453.590433,   
216.233535,   700.970606,   578.624933,   
214.109785,   700.862481,   703.659433,   
349.29166,   454.030731,   455.655058,   
347.16791,   453.922606,   580.689558,   
345.04416,   453.814481,   705.724058,   
346.28791,   579.049981,   455.691308,   
344.16416,   578.941856,   580.725808,   
342.04041,   578.833731,   705.760308,   
343.28416,   704.069231,   455.727558,   
