EM pivot post est position: 190.662083603,	204.361699659,	210.669408953
Optical pivot post est position: 396.5697604,	398.575661051,	204.645072925
187.555164,   174.537596,   205.577174,   
189.169164,   178.042221,   330.530049,   
190.783164,   181.546846,   455.482924,   
185.169664,   299.488971,   202.079549,   
186.783664,   302.993596,   327.032424,   
188.397664,   306.498221,   451.985299,   
182.784164,   424.440346,   198.581924,   
184.398164,   427.944971,   323.534799,   
186.012164,   431.449596,   448.487674,   
312.547914,   176.935096,   203.859049,   
314.161914,   180.439721,   328.811924,   
315.775914,   183.944346,   453.764799,   
310.162414,   301.886471,   200.361424,   
311.776414,   305.391096,   325.314299,   
313.390414,   308.895721,   450.267174,   
307.776914,   426.837846,   196.863799,   
309.390914,   430.342471,   321.816674,   
311.004914,   433.847096,   446.769549,   
437.540664,   179.332596,   202.140924,   
439.154664,   182.837221,   327.093799,   
440.768664,   186.341846,   452.046674,   
435.155164,   304.283971,   198.643299,   
436.769164,   307.788596,   323.596174,   
438.383164,   311.293221,   448.549049,   
432.769664,   429.235346,   195.145674,   
434.383664,   432.739971,   320.098549,   
435.997664,   436.244596,   445.051424,   
219.283168,   221.632424,   454.248152,   
217.779168,   220.650424,   579.259652,   
216.275168,   219.668424,   704.271152,   
215.910168,   346.540424,   455.273902,   
214.406168,   345.558424,   580.285402,   
212.902168,   344.576424,   705.296902,   
212.537168,   471.448424,   456.299652,   
211.033168,   470.466424,   581.311152,   
209.529168,   469.484424,   706.322652,   
344.206668,   224.999424,   455.766402,   
342.702668,   224.017424,   580.777902,   
341.198668,   223.035424,   705.789402,   
340.833668,   349.907424,   456.792152,   
339.329668,   348.925424,   581.803652,   
337.825668,   347.943424,   706.815152,   
337.460668,   474.815424,   457.817902,   
335.956668,   473.833424,   582.829402,   
334.452668,   472.851424,   707.840902,   
469.130168,   228.366424,   457.284652,   
467.626168,   227.384424,   582.296152,   
466.122168,   226.402424,   707.307652,   
465.757168,   353.274424,   458.310402,   
464.253168,   352.292424,   583.321902,   
462.749168,   351.310424,   708.333402,   
462.384168,   478.182424,   459.336152,   
460.880168,   477.200424,   584.347652,   
459.376168,   476.218424,   709.359152,   
203.148676,   436.289736,   210.14102,   
203.530176,   437.408736,   335.16102,   
203.911676,   438.527736,   460.18102,   
202.913301,   561.299236,   209.00927,   
203.294801,   562.418236,   334.02927,   
203.676301,   563.537236,   459.04927,   
202.677926,   686.308736,   207.87752,   
203.059426,   687.427736,   332.89752,   
203.440926,   688.546736,   457.91752,   
328.165176,   436.545736,   209.76902,   
328.546676,   437.664736,   334.78902,   
328.928176,   438.783736,   459.80902,   
327.929801,   561.555236,   208.63727,   
328.311301,   562.674236,   333.65727,   
328.692801,   563.793236,   458.67727,   
327.694426,   686.564736,   207.50552,   
328.075926,   687.683736,   332.52552,   
328.457426,   688.802736,   457.54552,   
453.181676,   436.801736,   209.39702,   
453.563176,   437.920736,   334.41702,   
453.944676,   439.039736,   459.43702,   
452.946301,   561.811236,   208.26527,   
453.327801,   562.930236,   333.28527,   
453.709301,   564.049236,   458.30527,   
452.710926,   686.820736,   207.13352,   
453.092426,   687.939736,   332.15352,   
453.473926,   689.058736,   457.17352,   
197.0802,   426.17974,   438.322552,   
199.616825,   428.377365,   563.227927,   
202.15345,   430.57499,   688.133302,   
198.5992,   551.18774,   436.069552,   
201.135825,   553.385365,   560.974927,   
203.67245,   555.58299,   685.880302,   
200.1182,   676.19574,   433.816552,   
202.654825,   678.393365,   558.721927,   
205.19145,   680.59099,   683.627302,   
322.11195,   424.55824,   435.822802,   
324.648575,   426.755865,   560.728177,   
327.1852,   428.95349,   685.633552,   
323.63095,   549.56624,   433.569802,   
326.167575,   551.763865,   558.475177,   
328.7042,   553.96149,   683.380552,   
325.14995,   674.57424,   431.316802,   
327.686575,   676.771865,   556.222177,   
330.2232,   678.96949,   681.127552,   
447.1437,   422.93674,   433.323052,   
449.680325,   425.134365,   558.228427,   
452.21695,   427.33199,   683.133802,   
448.6627,   547.94474,   431.070052,   
451.199325,   550.142365,   555.975427,   
453.73595,   552.33999,   680.880802,   
450.1817,   672.95274,   428.817052,   
452.718325,   675.150365,   553.722427,   
455.25495,   677.34799,   678.627802,   
469.873631,   243.144527,   229.321566,   
467.586256,   239.655902,   354.297566,   
465.298881,   236.167277,   479.273566,   
469.217006,   368.159402,   232.796816,   
466.929631,   364.670777,   357.772816,   
464.642256,   361.182152,   482.748816,   
468.560381,   493.174277,   236.272066,   
466.273006,   489.685652,   361.248066,   
463.985631,   486.197027,   486.224066,   
594.893256,   243.765152,   231.582816,   
592.605881,   240.276527,   356.558816,   
590.318506,   236.787902,   481.534816,   
594.236631,   368.780027,   235.058066,   
591.949256,   365.291402,   360.034066,   
589.661881,   361.802777,   485.010066,   
593.580006,   493.794902,   238.533316,   
591.292631,   490.306277,   363.509316,   
589.005256,   486.817652,   488.485316,   
719.912881,   244.385777,   233.844066,   
717.625506,   240.897152,   358.820066,   
715.338131,   237.408527,   483.796066,   
719.256256,   369.400652,   237.319316,   
716.968881,   365.912027,   362.295316,   
714.681506,   362.423402,   487.271316,   
718.599631,   494.415527,   240.794566,   
716.312256,   490.926902,   365.770566,   
