EM pivot post est position: 192.481440132,	194.217034361,	200.664752473
Optical pivot post est position: 390.077038636,	397.444978724,	195.165551293
212.104,   204.852,   209.979,   
212.104,   204.852,   334.979,   
212.104,   204.852,   459.979,   
214.229,   329.852,   209.979,   
214.229,   329.852,   334.979,   
214.229,   329.852,   459.979,   
216.354,   454.852,   209.979,   
216.354,   454.852,   334.979,   
216.354,   454.852,   459.979,   
337.104,   202.727,   209.979,   
337.104,   202.727,   334.979,   
337.104,   202.727,   459.979,   
339.229,   327.727,   209.979,   
339.229,   327.727,   334.979,   
339.229,   327.727,   459.979,   
341.354,   452.727,   209.979,   
341.354,   452.727,   334.979,   
341.354,   452.727,   459.979,   
462.104,   200.602,   209.979,   
462.104,   200.602,   334.979,   
462.104,   200.602,   459.979,   
464.229,   325.602,   209.979,   
464.229,   325.602,   334.979,   
464.229,   325.602,   459.979,   
466.354,   450.602,   209.979,   
466.354,   450.602,   334.979,   
466.354,   450.602,   459.979,   
225.9,   173.008,   447.968,   
224.65,   176.633,   572.968,   
223.4,   180.258,   697.968,   
229.025,   297.883,   444.468,   
227.775,   301.508,   569.468,   
226.525,   305.133,   694.468,   
232.15,   422.758,   440.968,   
230.9,   426.383,   565.968,   
229.65,   430.008,   690.968,   
350.9,   169.883,   449.343,   
349.65,   173.508,   574.343,   
348.4,   177.133,   699.343,   
354.025,   294.758,   445.843,   
352.775,   298.383,   570.843,   
351.525,   302.008,   695.843,   
357.15,   419.633,   442.343,   
355.9,   423.258,   567.343,   
354.65,   426.883,   692.343,   
475.9,   166.758,   450.718,   
474.65,   170.383,   575.718,   
473.4,   174.008,   700.718,   
479.025,   291.633,   447.218,   
477.775,   295.258,   572.218,   
476.525,   298.883,   697.218,   
482.15,   416.508,   443.718,   
480.9,   420.133,   568.718,   
479.65,   423.758,   693.718,   
206.627,   472.167,   219.134,   
207.377,   469.917,   344.134,   
208.127,   467.667,   469.134,   
207.377,   597.167,   221.384,   
208.127,   594.917,   346.384,   
208.877,   592.667,   471.384,   
208.127,   722.167,   223.634,   
208.877,   719.917,   348.634,   
209.627,   717.667,   473.634,   
331.627,   471.417,   218.384,   
332.377,   469.167,   343.384,   
333.127,   466.917,   468.384,   
332.377,   596.417,   220.634,   
333.127,   594.167,   345.634,   
333.877,   591.917,   470.634,   
333.127,   721.417,   222.884,   
333.877,   719.167,   347.884,   
334.627,   716.917,   472.884,   
456.627,   470.667,   217.634,   
457.377,   468.417,   342.634,   
458.127,   466.167,   467.634,   
457.377,   595.667,   219.884,   
458.127,   593.417,   344.884,   
458.877,   591.167,   469.884,   
458.127,   720.667,   222.134,   
458.877,   718.417,   347.134,   
459.627,   716.167,   472.134,   
225.62,   446.178,   449.065,   
223.87,   446.803,   574.065,   
222.12,   447.428,   699.065,   
225.745,   571.178,   448.44,   
223.995,   571.803,   573.44,   
222.245,   572.428,   698.44,   
225.87,   696.178,   447.815,   
224.12,   696.803,   572.815,   
222.37,   697.428,   697.815,   
350.62,   446.053,   450.815,   
348.87,   446.678,   575.815,   
347.12,   447.303,   700.815,   
350.745,   571.053,   450.19,   
348.995,   571.678,   575.19,   
347.245,   572.303,   700.19,   
350.87,   696.053,   449.565,   
349.12,   696.678,   574.565,   
347.37,   697.303,   699.565,   
475.62,   445.928,   452.565,   
473.87,   446.553,   577.565,   
472.12,   447.178,   702.565,   
475.745,   570.928,   451.94,   
473.995,   571.553,   576.94,   
