EM pivot post est position: 201.905060094,	187.854186826,	197.049491227
Optical pivot post est position: 398.649017627,	412.292654007,	197.833143248
180.018919,   197.920048,   203.431007,   
182.892294,   199.194798,   328.349757,   
185.765669,   200.469548,   453.268507,   
181.275794,   322.928298,   202.078007,   
184.149169,   324.203048,   326.996757,   
187.022544,   325.477798,   451.915507,   
182.532669,   447.936548,   200.725007,   
185.406044,   449.211298,   325.643757,   
188.279419,   450.486048,   450.562507,   
304.952669,   196.643798,   200.566632,   
307.826044,   197.918548,   325.485382,   
310.699419,   199.193298,   450.404132,   
306.209544,   321.652048,   199.213632,   
309.082919,   322.926798,   324.132382,   
311.956294,   324.201548,   449.051132,   
307.466419,   446.660298,   197.860632,   
310.339794,   447.935048,   322.779382,   
313.213169,   449.209798,   447.698132,   
429.886419,   195.367548,   197.702257,   
432.759794,   196.642298,   322.621007,   
435.633169,   197.917048,   447.539757,   
431.143294,   320.375798,   196.349257,   
434.016669,   321.650548,   321.268007,   
436.890044,   322.925298,   446.186757,   
432.400169,   445.384048,   194.996257,   
435.273544,   446.658798,   319.915007,   
438.146919,   447.933548,   444.833757,   
170.098417,   176.205457,   442.254036,   
173.607292,   179.697207,   567.150536,   
177.116167,   183.188957,   692.047036,   
169.426292,   301.135832,   438.863536,   
172.935167,   304.627582,   563.760036,   
176.444042,   308.119332,   688.656536,   
168.754167,   426.066207,   435.473036,   
172.263042,   429.557957,   560.369536,   
175.771917,   433.049707,   685.266036,   
295.062042,   176.641207,   438.759536,   
298.570917,   180.132957,   563.656036,   
302.079792,   183.624707,   688.552536,   
294.389917,   301.571582,   435.369036,   
297.898792,   305.063332,   560.265536,   
301.407667,   308.555082,   685.162036,   
293.717792,   426.501957,   431.978536,   
297.226667,   429.993707,   556.875036,   
300.735542,   433.485457,   681.771536,   
420.025667,   177.076957,   435.265036,   
423.534542,   180.568707,   560.161536,   
427.043417,   184.060457,   685.058036,   
419.353542,   302.007332,   431.874536,   
422.862417,   305.499082,   556.771036,   
426.371292,   308.990832,   681.667536,   
418.681417,   426.937707,   428.484036,   
422.190292,   430.429457,   553.380536,   
425.699167,   433.921207,   678.277036,   
191.926094,   456.916388,   198.779936,   
193.306719,   456.539138,   323.824936,   
194.687344,   456.161888,   448.869936,   
190.338594,   581.936388,   199.179936,   
191.719219,   581.559138,   324.224936,   
193.099844,   581.181888,   449.269936,   
188.751094,   706.956388,   199.579936,   
190.131719,   706.579138,   324.624936,   
191.512344,   706.201888,   449.669936,   
316.944844,   458.429888,   197.389936,   
318.325469,   458.052638,   322.434936,   
319.706094,   457.675388,   447.479936,   
315.357344,   583.449888,   197.789936,   
316.737969,   583.072638,   322.834936,   
318.118594,   582.695388,   447.879936,   
313.769844,   708.469888,   198.189936,   
315.150469,   708.092638,   323.234936,   
316.531094,   707.715388,   448.279936,   
441.963594,   459.943388,   195.999936,   
443.344219,   459.566138,   321.044936,   
444.724844,   459.188888,   446.089936,   
440.376094,   584.963388,   196.399936,   
441.756719,   584.586138,   321.444936,   
443.137344,   584.208888,   446.489936,   
438.788594,   709.983388,   196.799936,   
440.169219,   709.606138,   321.844936,   
441.549844,   709.228888,   446.889936,   
229.386531,   449.883855,   453.090606,   
228.133156,   449.65298,   578.105856,   
226.879781,   449.422105,   703.121106,   
229.389156,   574.894355,   453.348481,   
228.135781,   574.66348,   578.363731,   
226.882406,   574.432605,   703.378981,   
229.391781,   699.904855,   453.606356,   
228.138406,   699.67398,   578.621606,   
226.885031,   699.443105,   703.636856,   
354.411531,   449.88598,   454.339481,   
353.158156,   449.655105,   579.354731,   
351.904781,   449.42423,   704.369981,   
