pa2-a-output-1.txt
EM pivot post est position: 203.488390433,	182.604828237,	190.452382915
Optical pivot post est position: 392.871897637,	390.218877785,	-2809.93987427
91.718,   71.502,   96.689,   
92.218,   74.252,   221.689,   
92.718,   77.002,   346.689,   
89.218,   196.502,   93.939,   
89.718,   199.252,   218.939,   
90.218,   202.002,   343.939,   
86.718,   321.502,   91.189,   
87.218,   324.252,   216.189,   
87.718,   327.002,   341.189,   
216.718,   74.002,   96.189,   
217.218,   76.752,   221.189,   
217.718,   79.502,   346.189,   
214.218,   199.002,   93.439,   
214.718,   201.752,   218.439,   
215.218,   204.502,   343.439,   
211.718,   324.002,   90.689,   
212.218,   326.752,   215.689,   
212.718,   329.502,   340.689,   
341.718,   76.502,   95.689,   
342.218,   79.252,   220.689,   
342.718,   82.002,   345.689,   
339.218,   201.502,   92.939,   
339.718,   204.252,   217.939,   
340.218,   207.002,   342.939,   
336.718,   326.502,   90.189,   
337.218,   329.252,   215.189,   
337.718,   332.002,   340.189,   
125.278,   127.032,   231.416,   
123.028,   124.157,   356.416,   
120.778,   121.282,   481.416,   
127.653,   252.032,   234.291,   
125.403,   249.157,   359.291,   
123.153,   246.282,   484.291,   
130.028,   377.032,   237.166,   
127.778,   374.157,   362.166,   
125.528,   371.282,   487.166,   
250.278,   124.657,   233.666,   
248.028,   121.782,   358.666,   
245.778,   118.907,   483.666,   
252.653,   249.657,   236.541,   
250.403,   246.782,   361.541,   
248.153,   243.907,   486.541,   
255.028,   374.657,   239.416,   
252.778,   371.782,   364.416,   
250.528,   368.907,   489.416,   
375.278,   122.282,   235.916,   
373.028,   119.407,   360.916,   
370.778,   116.532,   485.916,   
377.653,   247.282,   238.791,   
375.403,   244.407,   363.791,   
373.153,   241.532,   488.791,   
380.028,   372.282,   241.666,   
377.778,   369.407,   366.666,   
375.528,   366.532,   491.666,   
74.062,   80.274,   346.194,   
76.562,   82.524,   471.194,   
79.062,   84.774,   596.194,   
70.687,   205.149,   344.069,   
73.187,   207.399,   469.069,   
75.687,   209.649,   594.069,   
67.312,   330.024,   341.944,   
69.812,   332.274,   466.944,   
72.312,   334.524,   591.944,   
198.937,   83.524,   343.569,   
201.437,   85.774,   468.569,   
203.937,   88.024,   593.569,   
195.562,   208.399,   341.444,   
198.062,   210.649,   466.444,   
200.562,   212.899,   591.444,   
192.187,   333.274,   339.319,   
194.687,   335.524,   464.319,   
197.187,   337.774,   589.319,   
323.812,   86.774,   340.944,   
326.312,   89.024,   465.944,   
328.812,   91.274,   590.944,   
320.437,   211.649,   338.819,   
322.937,   213.899,   463.819,   
325.437,   216.149,   588.819,   
317.062,   336.524,   336.694,   
319.562,   338.774,   461.694,   
322.062,   341.024,   586.694,   
80.036,   120.33,   476.683,   
82.286,   117.83,   601.683,   
84.536,   115.33,   726.683,   
78.536,   245.33,   479.308,   
80.786,   242.83,   604.308,   
83.036,   240.33,   729.308,   
77.036,   370.33,   481.933,   
79.286,   367.83,   606.933,   
81.536,   365.33,   731.933,   
205.036,   121.83,   474.433,   
207.286,   119.33,   599.433,   
209.536,   116.83,   724.433,   
203.536,   246.83,   477.058,   
205.786,   244.33,   602.058,   
208.036,   241.83,   727.058,   
202.036,   371.83,   479.683,   
204.286,   369.33,   604.683,   
206.536,   366.83,   729.683,   
330.036,   123.33,   472.183,   
332.286,   120.83,   597.183,   
334.536,   118.33,   722.183,   
328.536,   248.33,   474.808,   
330.786,   245.83,   599.808,   
333.036,   243.33,   724.808,   
327.036,   373.33,   477.433,   
329.286,   370.83,   602.433,   
331.536,   368.33,   727.433,   
92.224,   95.622,   598.182,   
93.349,   95.872,   723.182,   
94.474,   96.122,   848.182,   
93.724,   220.622,   597.932,   
94.849,   220.872,   722.932,   
95.974,   221.122,   847.932,   
95.224,   345.622,   597.682,   
96.349,   345.872,   722.682,   
97.474,   346.122,   847.682,   
217.224,   94.122,   597.057,   
218.349,   94.372,   722.057,   
219.474,   94.622,   847.057,   
218.724,   219.122,   596.807,   
219.849,   219.372,   721.807,   
220.974,   219.622,   846.807,   
220.224,   344.122,   596.557,   
221.349,   344.372,   721.557,   
222.474,   344.622,   846.557,   
342.224,   92.622,   595.932,   
343.349,   92.872,   720.932,   
344.474,   93.122,   845.932,   
343.724,   217.622,   595.682,   
344.849,   217.872,   720.682,   
345.974,   218.122,   845.682,   
345.224,   342.622,   595.432,   
346.349,   342.872,   720.432,   
347.474,   343.122,   845.432,   
63.827,   244.026,   101.845,   
67.577,   241.901,   226.72,   
71.327,   239.776,   351.595,   
67.202,   369.026,   103.845,   
70.952,   366.901,   228.72,   
74.702,   364.776,   353.595,   
70.577,   494.026,   105.845,   
74.327,   491.901,   230.72,   
78.077,   489.776,   355.595,   
188.702,   240.776,   98.095,   
192.452,   238.651,   222.97,   
196.202,   236.526,   347.845,   
192.077,   365.776,   100.095,   
195.827,   363.651,   224.97,   
199.577,   361.526,   349.845,   
195.452,   490.776,   102.095,   
199.202,   488.651,   226.97,   
202.952,   486.526,   351.845,   
313.577,   237.526,   94.345,   
317.327,   235.401,   219.22,   
321.077,   233.276,   344.095,   
316.952,   362.526,   96.345,   
320.702,   360.401,   221.22,   
324.452,   358.276,   346.095,   
320.327,   487.526,   98.345,   
324.077,   485.401,   223.22,   
327.827,   483.276,   348.095,   
129.375,   248.38,   233.316,   
126.75,   246.13,   358.316,   
124.125,   243.88,   483.316,   
131.75,   373.38,   235.691,   
129.125,   371.13,   360.691,   
126.5,   368.88,   485.691,   
134.125,   498.38,   238.066,   
131.5,   496.13,   363.066,   
128.875,   493.88,   488.066,   
254.375,   245.88,   235.941,   
251.75,   243.63,   360.941,   
249.125,   241.38,   485.941,   
256.75,   370.88,   238.316,   
254.125,   368.63,   363.316,   
251.5,   366.38,   488.316,   
259.125,   495.88,   240.691,   
256.5,   493.63,   365.691,   
253.875,   491.38,   490.691,   
379.375,   243.38,   238.566,   
376.75,   241.13,   363.566,   
374.125,   238.88,   488.566,   
381.75,   368.38,   240.941,   
379.125,   366.13,   365.941,   
376.5,   363.88,   490.941,   
384.125,   493.38,   243.316,   
381.5,   491.13,   368.316,   
378.875,   488.88,   493.316,   
98.724,   190.4,   342.281,   
99.724,   193.775,   467.281,   
100.724,   197.15,   592.281,   
102.224,   315.275,   338.906,   
103.224,   318.65,   463.906,   
104.224,   322.025,   588.906,   
105.724,   440.15,   335.531,   
