pa2-b-output-1.txt
EM pivot post est position: 186.357828086,	197.806664368,	207.435664684
Optical pivot post est position: 390.604403606,	408.679408937,	-2796.00487764
134.756,   100.491,   102.613,   
131.881,   100.366,   227.613,   
129.006,   100.241,   352.613,   
136.881,   225.491,   102.738,   
134.006,   225.366,   227.738,   
131.131,   225.241,   352.738,   
139.006,   350.491,   102.863,   
136.131,   350.366,   227.863,   
133.256,   350.241,   352.863,   
259.756,   98.366,   105.488,   
256.881,   98.241,   230.488,   
254.006,   98.116,   355.488,   
261.881,   223.366,   105.613,   
259.006,   223.241,   230.613,   
256.131,   223.116,   355.613,   
264.006,   348.366,   105.738,   
261.131,   348.241,   230.738,   
258.256,   348.116,   355.738,   
384.756,   96.241,   108.363,   
381.881,   96.116,   233.363,   
379.006,   95.991,   358.363,   
386.881,   221.241,   108.488,   
384.006,   221.116,   233.488,   
381.131,   220.991,   358.488,   
389.006,   346.241,   108.613,   
386.131,   346.116,   233.613,   
383.256,   345.991,   358.613,   
90.109,   108.792,   225.708,   
91.109,   107.667,   350.708,   
92.109,   106.542,   475.708,   
91.109,   233.792,   226.833,   
92.109,   232.667,   351.833,   
93.109,   231.542,   476.833,   
92.109,   358.792,   227.958,   
93.109,   357.667,   352.958,   
94.109,   356.542,   477.958,   
215.109,   107.792,   224.708,   
216.109,   106.667,   349.708,   
217.109,   105.542,   474.708,   
216.109,   232.792,   225.833,   
217.109,   231.667,   350.833,   
218.109,   230.542,   475.833,   
217.109,   357.792,   226.958,   
218.109,   356.667,   351.958,   
219.109,   355.542,   476.958,   
340.109,   106.792,   223.708,   
341.109,   105.667,   348.708,   
342.109,   104.542,   473.708,   
341.109,   231.792,   224.833,   
342.109,   230.667,   349.833,   
343.109,   229.542,   474.833,   
342.109,   356.792,   225.958,   
343.109,   355.667,   350.958,   
344.109,   354.542,   475.958,   
70.528,   114.659,   350.248,   
73.653,   113.159,   475.248,   
76.778,   111.659,   600.248,   
67.403,   239.659,   351.873,   
70.528,   238.159,   476.873,   
73.653,   236.659,   601.873,   
64.278,   364.659,   353.498,   
67.403,   363.159,   478.498,   
70.528,   361.659,   603.498,   
195.403,   117.909,   347.123,   
198.528,   116.409,   472.123,   
201.653,   114.909,   597.123,   
192.278,   242.909,   348.748,   
195.403,   241.409,   473.748,   
198.528,   239.909,   598.748,   
189.153,   367.909,   350.373,   
192.278,   366.409,   475.373,   
195.403,   364.909,   600.373,   
320.278,   121.159,   343.998,   
323.403,   119.659,   468.998,   
326.528,   118.159,   593.998,   
317.153,   246.159,   345.623,   
320.278,   244.659,   470.623,   
323.403,   243.159,   595.623,   
314.028,   371.159,   347.248,   
317.153,   369.659,   472.248,   
320.278,   368.159,   597.248,   
77.759,   75.569,   471.882,   
80.759,   78.069,   596.882,   
83.759,   80.569,   721.882,   
81.134,   200.444,   469.382,   
84.134,   202.944,   594.382,   
87.134,   205.444,   719.382,   
84.509,   325.319,   466.882,   
87.509,   327.819,   591.882,   
90.509,   330.319,   716.882,   
202.634,   72.069,   469.007,   
205.634,   74.569,   594.007,   
208.634,   77.069,   719.007,   
206.009,   196.944,   466.507,   
209.009,   199.444,   591.507,   
212.009,   201.944,   716.507,   
209.384,   321.819,   464.007,   
212.384,   324.319,   589.007,   
215.384,   326.819,   714.007,   
327.509,   68.569,   466.132,   
330.509,   71.069,   591.132,   
333.509,   73.569,   716.132,   
330.884,   193.444,   463.632,   
333.884,   195.944,   588.632,   
336.884,   198.444,   713.632,   
334.259,   318.319,   461.132,   
337.259,   320.819,   586.132,   
340.259,   323.319,   711.132,   
112.175,   104.726,   602.042,   
110.3,   103.851,   727.042,   
108.425,   102.976,   852.042,   
111.675,   229.726,   602.917,   
109.8,   228.851,   727.917,   
107.925,   227.976,   852.917,   
111.175,   354.726,   603.792,   
109.3,   353.851,   728.792,   
107.425,   352.976,   853.792,   
