pa2-c-output-1.txt
EM pivot post est position: 188.147626887,	208.845915227,	200.521762183
Optical pivot post est position: 396.398892228,	407.045493381,	-2797.29232242
133.514,   107.702,   103.269,   
130.139,   107.327,   228.269,   
126.764,   106.952,   353.269,   
130.014,   232.702,   103.519,   
126.639,   232.327,   228.519,   
123.264,   231.952,   353.519,   
126.514,   357.702,   103.769,   
123.139,   357.327,   228.769,   
119.764,   356.952,   353.769,   
258.389,   111.202,   106.644,   
255.014,   110.827,   231.644,   
251.639,   110.452,   356.644,   
254.889,   236.202,   106.894,   
251.514,   235.827,   231.894,   
248.139,   235.452,   356.894,   
251.389,   361.202,   107.144,   
248.014,   360.827,   232.144,   
244.639,   360.452,   357.144,   
383.264,   114.702,   110.019,   
379.889,   114.327,   235.019,   
376.514,   113.952,   360.019,   
379.764,   239.702,   110.269,   
376.389,   239.327,   235.269,   
373.014,   238.952,   360.269,   
376.264,   364.702,   110.519,   
372.889,   364.327,   235.519,   
369.514,   363.952,   360.519,   
83.789,   70.911,   221.572,   
85.664,   73.536,   346.572,   
87.539,   76.161,   471.572,   
86.164,   195.911,   218.947,   
88.039,   198.536,   343.947,   
89.914,   201.161,   468.947,   
88.539,   320.911,   216.322,   
90.414,   323.536,   341.322,   
92.289,   326.161,   466.322,   
208.789,   68.536,   219.697,   
210.664,   71.161,   344.697,   
212.539,   73.786,   469.697,   
211.164,   193.536,   217.072,   
213.039,   196.161,   342.072,   
214.914,   198.786,   467.072,   
213.539,   318.536,   214.447,   
215.414,   321.161,   339.447,   
217.289,   323.786,   464.447,   
333.789,   66.161,   217.822,   
335.664,   68.786,   342.822,   
337.539,   71.411,   467.822,   
336.164,   191.161,   215.197,   
338.039,   193.786,   340.197,   
339.914,   196.411,   465.197,   
338.539,   316.161,   212.572,   
340.414,   318.786,   337.572,   
342.289,   321.411,   462.572,   
89.58,   129.123,   351.373,   
91.08,   125.623,   476.373,   
92.58,   122.123,   601.373,   
90.955,   254.123,   354.748,   
92.455,   250.623,   479.748,   
93.955,   247.123,   604.748,   
92.33,   379.123,   358.123,   
93.83,   375.623,   483.123,   
95.33,   372.123,   608.123,   
214.58,   127.748,   349.873,   
216.08,   124.248,   474.873,   
217.58,   120.748,   599.873,   
215.955,   252.748,   353.248,   
217.455,   249.248,   478.248,   
218.955,   245.748,   603.248,   
217.33,   377.748,   356.623,   
218.83,   374.248,   481.623,   
220.33,   370.748,   606.623,   
339.58,   126.373,   348.373,   
341.08,   122.873,   473.373,   
342.58,   119.373,   598.373,   
340.955,   251.373,   351.748,   
342.455,   247.873,   476.748,   
343.955,   244.373,   601.748,   
342.33,   376.373,   355.123,   
343.83,   372.873,   480.123,   
345.33,   369.373,   605.123,   
117.795,   131.251,   479.98,   
115.295,   127.626,   604.855,   
112.795,   124.001,   729.73,   
116.17,   256.251,   483.48,   
113.67,   252.626,   608.355,   
111.17,   249.001,   733.23,   
114.545,   381.251,   486.98,   
112.045,   377.626,   611.855,   
109.545,   374.001,   736.73,   
242.795,   132.876,   482.605,   
240.295,   129.251,   607.48,   
237.795,   125.626,   732.355,   
241.17,   257.876,   486.105,   
238.67,   254.251,   610.98,   
236.17,   250.626,   735.855,   
239.545,   382.876,   489.605,   
237.045,   379.251,   614.48,   
234.545,   375.626,   739.355,   
367.795,   134.501,   485.23,   
365.295,   130.876,   610.105,   
362.795,   127.251,   734.98,   
366.17,   259.501,   488.73,   
363.67,   255.876,   613.605,   
361.17,   252.251,   738.48,   
364.545,   384.501,   492.23,   
362.045,   380.876,   617.105,   
359.545,   377.251,   741.98,   
76.767,   88.605,   595.974,   
79.517,   90.48,   720.974,   
82.267,   92.355,   845.974,   
74.767,   213.605,   594.224,   
77.517,   215.48,   719.224,   
80.267,   217.355,   844.224,   
72.767,   338.605,   592.474,   
75.517,   340.48,   717.474,   
78.267,   342.355,   842.474,   
201.767,   90.605,   593.099,   
204.517,   92.48,   718.099,   
207.267,   94.355,   843.099,   
199.767,   215.605,   591.349,   
202.517,   217.48,   716.349,   
205.267,   219.355,   841.349,   
197.767,   340.605,   589.599,   
200.517,   342.48,   714.599,   
203.267,   344.355,   839.599,   
326.767,   92.605,   590.224,   
329.517,   94.48,   715.224,   
332.267,   96.355,   840.224,   
324.767,   217.605,   588.474,   
327.517,   219.48,   713.474,   
330.267,   221.355,   838.474,   
322.767,   342.605,   586.724,   
325.517,   344.48,   711.724,   
328.267,   346.355,   836.724,   
91.321,   238.749,   102.643,   
92.071,   237.499,   227.643,   
92.821,   236.249,   352.643,   
90.446,   363.749,   103.893,   
91.196,   362.499,   228.893,   
91.946,   361.249,   353.893,   
89.571,   488.749,   105.143,   
90.321,   487.499,   230.143,   
91.071,   486.249,   355.143,   
216.321,   239.624,   101.893,   
217.071,   238.374,   226.893,   
217.821,   237.124,   351.893,   
215.446,   364.624,   103.143,   
216.196,   363.374,   228.143,   
216.946,   362.124,   353.143,   
214.571,   489.624,   104.393,   
215.321,   488.374,   229.393,   
216.071,   487.124,   354.393,   
341.321,   240.499,   101.143,   
342.071,   239.249,   226.143,   
342.821,   237.999,   351.143,   
340.446,   365.499,   102.393,   
341.196,   364.249,   227.393,   
341.946,   362.999,   352.393,   
339.571,   490.499,   103.643,   
340.321,   489.249,   228.643,   
341.071,   487.999,   353.643,   
107.75,   243.267,   229.807,   
106.625,   241.517,   354.807,   
105.5,   239.767,   479.807,   
106.375,   368.267,   231.557,   
105.25,   366.517,   356.557,   
104.125,   364.767,   481.557,   
105.0,   493.267,   233.307,   
103.875,   491.517,   358.307,   
102.75,   489.767,   483.307,   
232.75,   244.642,   231.057,   
231.625,   242.892,   356.057,   
230.5,   241.142,   481.057,   
231.375,   369.642,   232.807,   
230.25,   367.892,   357.807,   
229.125,   366.142,   482.807,   
230.0,   494.642,   234.557,   
228.875,   492.892,   359.557,   
227.75,   491.142,   484.557,   
357.75,   246.017,   232.307,   
356.625,   244.267,   357.307,   
355.5,   242.517,   482.307,   
356.375,   371.017,   234.057,   
355.25,   369.267,   359.057,   
354.125,   367.517,   484.057,   
355.0,   496.017,   235.807,   
353.875,   494.267,   360.807,   
352.75,   492.517,   485.807,   
89.722,   220.735,   347.414,   
90.847,   220.985,   472.414,   
91.972,   221.235,   597.414,   
90.472,   345.735,   347.164,   
91.597,   345.985,   472.164,   
92.722,   346.235,   597.164,   
91.222,   470.735,   346.914,   
92.347,   470.985,   471.914,   
93.472,   471.235,   596.914,   
214.722,   219.985,   346.289,   
215.847,   220.235,   471.289,   
216.972,   220.485,   596.289,   
215.472,   344.985,   346.039,   
216.597,   345.235,   471.039,   
217.722,   345.485,   596.039,   
216.222,   469.985,   345.789,   
217.347,   470.235,   470.789,   
218.472,   470.485,   595.789,   
339.722,   219.235,   345.164,   
340.847,   219.485,   470.164,   
341.972,   219.735,   595.164,   
340.472,   344.235,   344.914,   
341.597,   344.485,   469.914,   
342.722,   344.735,   594.914,   
341.222,   469.235,   344.664,   
342.347,   469.485,   469.664,   
343.472,   469.735,   594.664,   
98.471,   196.744,   469.754,   
98.971,   200.119,   594.754,   
99.471,   203.494,   719.754,   
100.971,   321.619,   466.379,   
101.471,   324.994,   591.379,   
101.971,   328.369,   716.379,   
103.471,   446.494,   463.004,   
103.971,   449.869,   588.004,   
104.471,   453.244,   713.004,   
223.471,   194.244,   469.254,   
223.971,   197.619,   594.254,   
224.471,   200.994,   719.254,   
225.971,   319.119,   465.879,   
226.471,   322.494,   590.879,   
226.971,   325.869,   715.879,   
228.471,   443.994,   462.504,   
228.971,   447.369,   587.504,   
229.471,   450.744,   712.504,   
348.471,   191.744,   468.754,   
348.971,   195.119,   593.754,   
349.471,   198.494,   718.754,   
350.971,   316.619,   465.379,   
351.471,   319.994,   590.379,   
351.971,   323.369,   715.379,   
