pa2-d-output-1.txt
EM pivot post est position: 211.317628232,	186.123397487,	190.397477556
Optical pivot post est position: 394.70056419,	383.727416728,	-2820.85726306
86.100544,   110.746098,   101.260002,   
87.225794,   109.994348,   226.259127,   
88.351044,   109.242598,   351.258252,   
83.225544,   235.752348,   102.141252,   
84.350794,   235.000598,   227.140377,   
85.476044,   234.248848,   352.139502,   
80.350544,   360.758598,   103.022502,   
81.475794,   360.006848,   228.021627,   
82.601044,   359.255098,   353.020752,   
211.105044,   113.627223,   100.156877,   
212.230294,   112.875473,   225.156002,   
213.355544,   112.123723,   350.155127,   
208.230044,   238.633473,   101.038127,   
209.355294,   237.881723,   226.037252,   
210.480544,   237.129973,   351.036377,   
205.355044,   363.639723,   101.919377,   
206.480294,   362.887973,   226.918502,   
207.605544,   362.136223,   351.917627,   
336.109544,   116.508348,   99.053752,   
337.234794,   115.756598,   224.052877,   
338.360044,   115.004848,   349.052002,   
333.234544,   241.514598,   99.935002,   
334.359794,   240.762848,   224.934127,   
335.485044,   240.011098,   349.933252,   
330.359544,   366.520848,   100.816252,   
331.484794,   365.769098,   225.815377,   
332.610044,   365.017348,   350.814502,   
57.393977,   130.697779,   223.579445,   
61.032102,   128.214154,   348.49132,   
64.670227,   125.730529,   473.403195,   
54.627727,   255.705029,   226.193195,   
58.265852,   253.221404,   351.10507,   
61.903977,   250.737779,   476.016945,   
51.861477,   380.712279,   228.806945,   
55.499602,   378.228654,   353.71882,   
59.137727,   375.745029,   478.630695,   
182.281227,   133.426029,   219.94257,   
185.919352,   130.942404,   344.854445,   
189.557477,   128.458779,   469.76632,   
179.514977,   258.433279,   222.55632,   
183.153102,   255.949654,   347.468195,   
186.791227,   253.466029,   472.38007,   
176.748727,   383.440529,   225.17007,   
180.386852,   380.956904,   350.081945,   
184.024977,   378.473279,   474.99382,   
307.168477,   136.154279,   216.305695,   
310.806602,   133.670654,   341.21757,   
314.444727,   131.187029,   466.129445,   
304.402227,   261.161529,   218.919445,   
308.040352,   258.677904,   343.83132,   
311.678477,   256.194279,   468.743195,   
301.635977,   386.168779,   221.533195,   
305.274102,   383.685154,   346.44507,   
308.912227,   381.201529,   471.356945,   
89.523134,   121.9149,   351.297182,   
90.259634,   119.525275,   476.298057,   
90.996134,   117.13565,   601.298932,   
86.761509,   246.814275,   353.644182,   
87.498009,   244.42465,   478.645057,   
88.234509,   242.035025,   603.645932,   
83.999884,   371.71365,   355.991182,   
84.736384,   369.324025,   480.992057,   
85.472884,   366.9344,   605.992932,   
214.444384,   124.6774,   350.573432,   
215.180884,   122.287775,   475.574307,   
215.917384,   119.89815,   600.575182,   
211.682759,   249.576775,   352.920432,   
212.419259,   247.18715,   477.921307,   
213.155759,   244.797525,   602.922182,   
208.921134,   374.47615,   355.267432,   
209.657634,   372.086525,   480.268307,   
210.394134,   369.6969,   605.269182,   
339.365634,   127.4399,   349.849682,   
340.102134,   125.050275,   474.850557,   
340.838634,   122.66065,   599.851432,   
336.604009,   252.339275,   352.196682,   
337.340509,   249.94965,   477.197557,   
338.077009,   247.560025,   602.198432,   
333.842384,   377.23865,   354.543682,   
334.578884,   374.849025,   479.544557,   
335.315384,   372.4594,   604.545432,   
114.484202,   97.214968,   477.574096,   
112.606202,   97.708218,   602.584846,   
110.728202,   98.201468,   727.595596,   
112.355827,   222.214218,   476.954346,   
110.477827,   222.707468,   601.965096,   
108.599827,   223.200718,   726.975846,   
110.227452,   347.213468,   476.334596,   
108.349452,   347.706718,   601.345346,   
106.471452,   348.199968,   726.356096,   
239.485702,   99.330968,   479.456096,   
237.607702,   99.824218,   604.466846,   
235.729702,   100.317468,   729.477596,   
237.357327,   224.330218,   478.836346,   
235.479327,   224.823468,   603.847096,   
233.601327,   225.316718,   728.857846,   
235.228952,   349.329468,   478.216596,   
233.350952,   349.822718,   603.227346,   
231.472952,   350.315968,   728.238096,   
364.487202,   101.446968,   481.338096,   
362.609202,   101.940218,   606.348846,   
360.731202,   102.433468,   731.359596,   
362.358827,   226.446218,   480.718346,   
360.480827,   226.939468,   605.729096,   
358.602827,   227.432718,   730.739846,   
360.230452,   351.445468,   480.098596,   
358.352452,   351.938718,   605.109346,   
356.474452,   352.431968,   730.120096,   
90.947492,   107.609874,   601.485217,   
91.811492,   105.842874,   726.502342,   
92.675492,   104.075874,   851.519467,   
93.559992,   232.593124,   603.126467,   
94.423992,   230.826124,   728.143592,   
95.287992,   229.059124,   853.160717,   
96.172492,   357.576374,   604.767717,   
97.036492,   355.809374,   729.784842,   
97.900492,   354.042374,   854.801967,   
215.955742,   104.991249,   600.605342,   
216.819742,   103.224249,   725.622467,   
217.683742,   101.457249,   850.639592,   
218.568242,   229.974499,   602.246592,   
219.432242,   228.207499,   727.263717,   
220.296242,   226.440499,   852.280842,   
221.180742,   354.957749,   603.887842,   
222.044742,   353.190749,   728.904967,   
222.908742,   351.423749,   853.922092,   
340.963992,   102.372624,   599.725467,   
341.827992,   100.605624,   724.742592,   
342.691992,   98.838624,   849.759717,   
343.576492,   227.355874,   601.366717,   
344.440492,   225.588874,   726.383842,   
345.304492,   223.821874,   851.400967,   
346.188992,   352.339124,   603.007967,   
347.052992,   350.572124,   728.025092,   
347.916992,   348.805124,   853.042217,   
136.56878,   222.08145,   103.96082,   
133.20253,   222.346325,   228.94957,   
129.83628,   222.6112,   353.93832,   
134.95753,   347.10995,   103.56082,   
131.59128,   347.374825,   228.54957,   
128.22503,   347.6397,   353.53832,   
133.34628,   472.13845,   103.16082,   
129.98003,   472.403325,   228.14957,   
126.61378,   472.6682,   353.13832,   
261.56503,   223.68945,   107.35582,   
258.19878,   223.954325,   232.34457,   
254.83253,   224.2192,   357.33332,   
259.95378,   348.71795,   106.95582,   
256.58753,   348.982825,   231.94457,   
