pa2-e-output-1.txt
EM pivot post est position: 213.488585997,	210.026162549,	183.987982581
Optical pivot post est position: 398.049810002,	387.342836025,	-2782.15659071
124.54158,   82.226073,   101.432784,   
122.289705,   83.720823,   226.421409,   
120.03783,   85.215573,   351.410034,   
126.91908,   207.229948,   99.943784,   
124.667205,   208.724698,   224.932409,   
122.41533,   210.219448,   349.921034,   
129.29658,   332.233823,   98.454784,   
127.044705,   333.728573,   223.443409,   
124.79283,   335.223323,   348.432034,   
249.54233,   79.864198,   103.827034,   
247.290455,   81.358948,   228.815659,   
245.03858,   82.853698,   353.804284,   
251.91983,   204.868073,   102.338034,   
249.667955,   206.362823,   227.326659,   
247.41608,   207.857573,   352.315284,   
254.29733,   329.871948,   100.849034,   
252.045455,   331.366698,   225.837659,   
249.79358,   332.861448,   350.826284,   
374.54308,   77.502323,   106.221284,   
372.291205,   78.997073,   231.209909,   
370.03933,   80.491823,   356.198534,   
376.92058,   202.506198,   104.732284,   
374.668705,   204.000948,   229.720909,   
372.41683,   205.495698,   354.709534,   
379.29808,   327.510073,   103.243284,   
377.046205,   329.004823,   228.231909,   
374.79433,   330.499573,   353.220534,   
110.257699,   111.365683,   227.268719,   
109.382699,   110.121308,   352.285594,   
108.507699,   108.876933,   477.302469,   
108.507699,   236.372058,   228.537844,   
107.632699,   235.127683,   353.554719,   
106.757699,   233.883308,   478.571594,   
106.757699,   361.378433,   229.806969,   
105.882699,   360.134058,   354.823844,   
105.007699,   358.889683,   479.840719,   
235.279074,   113.096933,   228.039969,   
234.404074,   111.852558,   353.056844,   
233.529074,   110.608183,   478.073719,   
233.529074,   238.103308,   229.309094,   
232.654074,   236.858933,   354.325969,   
231.779074,   235.614558,   479.342844,   
231.779074,   363.109683,   230.578219,   
230.904074,   361.865308,   355.595094,   
230.029074,   360.620933,   480.611969,   
360.300449,   114.828183,   228.811219,   
359.425449,   113.583808,   353.828094,   
358.550449,   112.339433,   478.844969,   
358.550449,   239.834558,   230.080344,   
357.675449,   238.590183,   355.097219,   
356.800449,   237.345808,   480.114094,   
356.800449,   364.840933,   231.349469,   
355.925449,   363.596558,   356.366344,   
355.050449,   362.352183,   481.383219,   
102.533676,   102.894428,   349.897842,   
102.659426,   102.140678,   474.900967,   
102.785176,   101.386928,   599.904092,   
105.159426,   227.914053,   350.627592,   
105.285176,   227.160303,   475.630717,   
105.410926,   226.406553,   600.633842,   
107.785176,   352.933678,   351.357342,   
107.910926,   352.179928,   476.360467,   
108.036676,   351.426178,   601.363592,   
227.557676,   100.266303,   349.755967,   
227.683426,   99.512553,   474.759092,   
227.809176,   98.758803,   599.762217,   
230.183426,   225.285928,   350.485717,   
230.309176,   224.532178,   475.488842,   
230.434926,   223.778428,   600.491967,   
232.809176,   350.305553,   351.215467,   
232.934926,   349.551803,   476.218592,   
233.060676,   348.798053,   601.221717,   
352.581676,   97.638178,   349.614092,   
352.707426,   96.884428,   474.617217,   
352.833176,   96.130678,   599.620342,   
355.207426,   222.657803,   350.343842,   
355.333176,   221.904053,   475.346967,   
355.458926,   221.150303,   600.350092,   
357.833176,   347.677428,   351.073592,   
357.958926,   346.923678,   476.076717,   
358.084676,   346.169928,   601.079842,   
110.074289,   73.390208,   475.42523,   
108.841164,   76.022708,   600.44848,   
107.608039,   78.655208,   725.47173,   
110.567539,   198.411083,   472.80048,   
109.334414,   201.043583,   597.82373,   
108.101289,   203.676083,   722.84698,   
111.060789,   323.431958,   470.17573,   
109.827664,   326.064458,   595.19898,   
108.594539,   328.696958,   720.22223,   
235.078539,   73.006208,   476.67673,   
233.845414,   75.638708,   601.69998,   
232.612289,   78.271208,   726.72323,   
235.571789,   198.027083,   474.05198,   
234.338664,   200.659583,   599.07523,   
233.105539,   203.292083,   724.09848,   
236.065039,   323.047958,   471.42723,   
234.831914,   325.680458,   596.45048,   
233.598789,   328.312958,   721.47373,   
360.082789,   72.622208,   477.92823,   
358.849664,   75.254708,   602.95148,   
357.616539,   77.887208,   727.97473,   
360.576039,   197.643083,   475.30348,   
359.342914,   200.275583,   600.32673,   
358.109789,   202.908083,   725.34998,   
361.069289,   322.663958,   472.67873,   
359.836164,   325.296458,   597.70198,   
358.603039,   327.928958,   722.72523,   
114.45636,   74.41759,   599.810198,   
112.08136,   77.29259,   724.805448,   
109.70636,   80.16759,   849.800698,   
116.23136,   199.42384,   596.949198,   
113.85636,   202.29884,   721.944448,   
111.48136,   205.17384,   846.939698,   
118.00636,   324.43009,   594.088198,   
115.63136,   327.30509,   719.083448,   
113.25636,   330.18009,   844.078698,   
239.44536,   72.78984,   602.181948,   
237.07036,   75.66484,   727.177198,   
234.69536,   78.53984,   852.172448,   
241.22036,   197.79609,   599.320948,   
238.84536,   200.67109,   724.316198,   
236.47036,   203.54609,   849.311448,   
242.99536,   322.80234,   596.459948,   
240.62036,   325.67734,   721.455198,   
238.24536,   328.55234,   846.450448,   
364.43436,   71.16209,   604.553698,   
362.05936,   74.03709,   729.548948,   
359.68436,   76.91209,   854.544198,   
366.20936,   196.16834,   601.692698,   
363.83436,   199.04334,   726.687948,   
361.45936,   201.91834,   851.683198,   
367.98436,   321.17459,   598.831698,   
365.60936,   324.04959,   723.826948,   
