pa2-f-output-1.txt
EM pivot post est position: 176.289687679,	200.089129975,	196.672193276
Optical pivot post est position: 415.648661777,	392.944252953,	-2805.40185983
128.508915,   95.820882,   103.612093,   
125.747665,   96.412132,   228.633468,   
122.986415,   97.003382,   353.654843,   
127.37829,   220.826632,   102.986468,   
124.61704,   221.417882,   228.007843,   
121.85579,   222.009132,   353.029218,   
126.247665,   345.832382,   102.360843,   
123.486415,   346.423632,   227.382218,   
120.725165,   347.014882,   352.403593,   
253.52704,   96.932382,   106.361593,   
250.76579,   97.523632,   231.382968,   
248.00454,   98.114882,   356.404343,   
252.396415,   221.938132,   105.735968,   
249.635165,   222.529382,   230.757343,   
246.873915,   223.120632,   355.778718,   
251.26579,   346.943882,   105.110343,   
248.50454,   347.535132,   230.131718,   
245.74329,   348.126382,   355.153093,   
378.545165,   98.043882,   109.111093,   
375.783915,   98.635132,   234.132468,   
373.022665,   99.226382,   359.153843,   
377.41454,   223.049632,   108.485468,   
374.65329,   223.640882,   233.506843,   
371.89204,   224.232132,   358.528218,   
376.283915,   348.055382,   107.859843,   
373.522665,   348.646632,   232.881218,   
370.761415,   349.237882,   357.902593,   
73.41477,   61.918655,   218.55526,   
76.41452,   65.66828,   343.414635,   
79.41427,   69.417905,   468.27401,   
76.03302,   186.78353,   214.800385,   
79.03277,   190.533155,   339.65976,   
82.03252,   194.28278,   464.519135,   
78.65127,   311.648405,   211.04551,   
81.65102,   315.39803,   335.904885,   
84.65077,   319.147655,   460.76426,   
198.40952,   59.16078,   215.68851,   
201.40927,   62.910405,   340.547885,   
204.40902,   66.66003,   465.40726,   
201.02777,   184.025655,   211.933635,   
204.02752,   187.77528,   336.79301,   
207.02727,   191.524905,   461.652385,   
203.64602,   308.89053,   208.17876,   
206.64577,   312.640155,   333.038135,   
209.64552,   316.38978,   457.89751,   
323.40427,   56.402905,   212.82176,   
326.40402,   60.15253,   337.681135,   
329.40377,   63.902155,   462.54051,   
326.02252,   181.26778,   209.066885,   
329.02227,   185.017405,   333.92626,   
332.02202,   188.76703,   458.785635,   
328.64077,   306.132655,   205.31201,   
331.64052,   309.88228,   330.171385,   
334.64027,   313.631905,   455.03076,   
98.630397,   110.938313,   349.376809,   
99.258022,   109.312563,   474.373309,   
99.885647,   107.686813,   599.369809,   
101.886522,   235.943938,   350.976434,   
102.514147,   234.318188,   475.972934,   
103.141772,   232.692438,   600.969434,   
105.142647,   360.949563,   352.576059,   
105.770272,   359.323813,   477.572559,   
106.397897,   357.698063,   602.569059,   
223.642147,   107.687563,   348.605059,   
224.269772,   106.061813,   473.601559,   
224.897397,   104.436063,   598.598059,   
226.898272,   232.693188,   350.204684,   
227.525897,   231.067438,   475.201184,   
228.153522,   229.441688,   600.197684,   
230.154397,   357.698813,   351.804309,   
230.782022,   356.073063,   476.800809,   
231.409647,   354.447313,   601.797309,   
348.653897,   104.436813,   347.833309,   
349.281522,   102.811063,   472.829809,   
349.909147,   101.185313,   597.826309,   
351.910022,   229.442438,   349.432934,   
352.537647,   227.816688,   474.429434,   
353.165272,   226.190938,   599.425934,   
355.166147,   354.448063,   351.032559,   
355.793772,   352.822313,   476.029059,   
356.421397,   351.196563,   601.025559,   
86.099832,   115.870972,   472.17208,   
87.609832,   114.626972,   597.19708,   
89.119832,   113.382972,   722.22208,   
83.099832,   240.885972,   473.42208,   
84.609832,   239.641972,   598.44708,   
86.119832,   238.397972,   723.47208,   
80.099832,   365.900972,   474.67208,   
81.609832,   364.656972,   599.69708,   
83.119832,   363.412972,   724.72208,   
211.089332,   118.980972,   470.64583,   
212.599332,   117.736972,   595.67083,   
214.109332,   116.492972,   720.69583,   
208.089332,   243.995972,   471.89583,   
209.599332,   242.751972,   596.92083,   
211.109332,   241.507972,   721.94583,   
205.089332,   369.010972,   473.14583,   
206.599332,   367.766972,   598.17083,   
208.109332,   366.522972,   723.19583,   
336.078832,   122.090972,   469.11958,   
337.588832,   120.846972,   594.14458,   
339.098832,   119.602972,   719.16958,   
333.078832,   247.105972,   470.36958,   
334.588832,   245.861972,   595.39458,   
336.098832,   244.617972,   720.41958,   
330.078832,   372.120972,   471.61958,   
331.588832,   370.876972,   596.64458,   
333.098832,   369.632972,   721.66958,   
76.401334,   91.787242,   597.195856,   
79.514334,   93.060242,   722.193106,   
82.627334,   94.333242,   847.190356,   
76.148334,   216.796242,   595.944356,   
79.261334,   218.069242,   720.941606,   
82.374334,   219.342242,   845.938856,   
75.895334,   341.805242,   594.692856,   
79.008334,   343.078242,   719.690106,   
82.121334,   344.351242,   844.687356,   
201.402584,   91.917992,   594.069106,   
204.515584,   93.190992,   719.066356,   
207.628584,   94.463992,   844.063606,   
201.149584,   216.926992,   592.817606,   
204.262584,   218.199992,   717.814856,   
207.375584,   219.472992,   842.812106,   
200.896584,   341.935992,   591.566106,   
204.009584,   343.208992,   716.563356,   
207.122584,   344.481992,   841.560606,   
326.403834,   92.048742,   590.942356,   
329.516834,   93.321742,   715.939606,   
332.629834,   94.594742,   840.936856,   
326.150834,   217.057742,   589.690856,   
329.263834,   218.330742,   714.688106,   
332.376834,   219.603742,   839.685356,   
325.897834,   342.066742,   588.439356,   
329.010834,   343.339742,   713.436606,   
332.123834,   344.612742,   838.433856,   
123.238407,   230.340268,   102.830282,   
121.238782,   229.957393,   227.843157,   
119.239157,   229.574518,   352.856032,   
124.739657,   355.345393,   103.320907,   
122.740032,   354.962518,   228.333782,   
120.740407,   354.579643,   353.346657,   
126.240907,   480.350518,   103.811532,   
124.241282,   479.967643,   228.824407,   
122.241657,   479.584768,   353.837282,   
248.257157,   228.835018,   104.826532,   
246.257532,   228.452143,   229.839407,   
244.257907,   228.069268,   354.852282,   
249.758407,   353.840143,   105.317157,   
247.758782,   353.457268,   230.330032,   
245.759157,   353.074393,   355.342907,   
251.259657,   478.845268,   105.807782,   
249.260032,   478.462393,   230.820657,   
247.260407,   478.079518,   355.833532,   
373.275907,   227.329768,   106.822782,   
371.276282,   226.946893,   231.835657,   
369.276657,   226.564018,   356.848532,   
374.777157,   352.334893,   107.313407,   
372.777532,   351.952018,   232.326282,   
370.777907,   351.569143,   357.339157,   
376.278407,   477.340018,   107.804032,   
374.278782,   476.957143,   232.816907,   
372.279157,   476.574268,   357.829782,   
77.58052,   224.550845,   226.26394,   
79.57552,   224.438345,   351.28294,   
81.57052,   224.325845,   476.30194,   
77.58502,   349.564095,   226.26644,   
79.58002,   349.451595,   351.28544,   
81.57502,   349.339095,   476.30444,   
77.58952,   474.577345,   226.26894,   
79.58452,   474.464845,   351.28794,   
81.57952,   474.352345,   476.30694,   
202.593645,   224.573345,   224.258315,   
204.588645,   224.460845,   349.277315,   
206.583645,   224.348345,   474.296315,   
202.598145,   349.586595,   224.260815,   
204.593145,   349.474095,   349.279815,   
206.588145,   349.361595,   474.298815,   
202.602645,   474.599845,   224.263315,   
204.597645,   474.487345,   349.282315,   
206.592645,   474.374845,   474.301315,   
327.60677,   224.595845,   222.25269,   
329.60177,   224.483345,   347.27169,   
331.59677,   224.370845,   472.29069,   
327.61127,   349.609095,   222.25519,   
329.60627,   349.496595,   347.27419,   
331.60127,   349.384095,   472.29319,   
327.61577,   474.622345,   222.25769,   
329.61077,   474.509845,   347.27669,   
331.60577,   474.397345,   472.29569,   
69.27108,   244.5578,   353.82017,   
72.75583,   242.27405,   478.71667,   
76.24058,   239.9903,   603.61317,   
70.25908,   369.5538,   356.07017,   
73.74383,   367.27005,   480.96667,   
77.22858,   364.9863,   605.86317,   
71.24708,   494.5498,   358.32017,   
