pa2-g-output-1.txt
EM pivot post est position: 206.7892493,	197.45023549,	198.13688379
Optical pivot post est position: 403.167048205,	400.81495468,	-2790.58861043
68.885141,   91.527564,   97.59341,   
71.890016,   91.895439,   222.597785,   
74.894891,   92.263314,   347.60216,   
71.876391,   216.537189,   97.080285,   
74.881266,   216.905064,   222.08466,   
77.886141,   217.272939,   347.089035,   
74.867641,   341.546814,   96.56716,   
77.872516,   341.914689,   221.571535,   
80.877391,   342.282564,   346.57591,   
193.865391,   88.551314,   94.56716,   
196.870266,   88.919189,   219.571535,   
199.875141,   89.287064,   344.57591,   
196.856641,   213.560939,   94.054035,   
199.861516,   213.928814,   219.05841,   
202.866391,   214.296689,   344.062785,   
199.847891,   338.570564,   93.54091,   
202.852766,   338.938439,   218.545285,   
205.857641,   339.306314,   343.54966,   
318.845641,   85.575064,   91.54091,   
321.850516,   85.942939,   216.545285,   
324.855391,   86.310814,   341.54966,   
321.836891,   210.584689,   91.027785,   
324.841766,   210.952564,   216.03216,   
327.846641,   211.320439,   341.036535,   
324.828141,   335.594314,   90.51466,   
327.833016,   335.962189,   215.519035,   
330.837891,   336.330064,   340.52341,   
110.397468,   92.611026,   225.24382,   
109.397468,   92.986776,   350.25332,   
108.397468,   93.362526,   475.26282,   
110.150218,   217.622276,   224.86832,   
109.150218,   217.998026,   349.87782,   
108.150218,   218.373776,   474.88732,   
109.902968,   342.633526,   224.49282,   
108.902968,   343.009276,   349.50232,   
107.902968,   343.385026,   474.51182,   
235.395968,   92.730026,   226.24582,   
234.395968,   93.105776,   351.25532,   
233.395968,   93.481526,   476.26482,   
235.148718,   217.741276,   225.87032,   
234.148718,   218.117026,   350.87982,   
233.148718,   218.492776,   475.88932,   
234.901468,   342.752526,   225.49482,   
233.901468,   343.128276,   350.50432,   
232.901468,   343.504026,   475.51382,   
360.394468,   92.849026,   227.24782,   
359.394468,   93.224776,   352.25732,   
358.394468,   93.600526,   477.26682,   
360.147218,   217.860276,   226.87232,   
359.147218,   218.236026,   351.88182,   
358.147218,   218.611776,   476.89132,   
359.899968,   342.871526,   226.49682,   
358.899968,   343.247276,   351.50632,   
357.899968,   343.623026,   476.51582,   
101.396423,   113.047452,   353.727065,   
101.276923,   111.674452,   478.729565,   
101.157423,   110.301452,   603.732065,   
101.639548,   238.050452,   355.105815,   
101.520048,   236.677452,   480.108315,   
101.400548,   235.304452,   605.110815,   
101.882673,   363.053452,   356.484565,   
101.763173,   361.680452,   481.487065,   
101.643673,   360.307452,   606.489565,   
226.401923,   112.797452,   353.852065,   
226.282423,   111.424452,   478.854565,   
226.162923,   110.051452,   603.857065,   
226.645048,   237.800452,   355.230815,   
226.525548,   236.427452,   480.233315,   
226.406048,   235.054452,   605.235815,   
226.888173,   362.803452,   356.609565,   
226.768673,   361.430452,   481.612065,   
226.649173,   360.057452,   606.614565,   
351.407423,   112.547452,   353.977065,   
351.287923,   111.174452,   478.979565,   
351.168423,   109.801452,   603.982065,   
351.650548,   237.550452,   355.355815,   
351.531048,   236.177452,   480.358315,   
351.411548,   234.804452,   605.360815,   
351.893673,   362.553452,   356.734565,   
351.774173,   361.180452,   481.737065,   
351.654673,   359.807452,   606.739565,   
116.127266,   107.05975,   475.718286,   
113.882766,   106.80125,   600.728536,   
111.638266,   106.54275,   725.738786,   
114.375891,   232.067125,   475.967036,   
112.131391,   231.808625,   600.977286,   
109.886891,   231.550125,   725.987536,   
112.624516,   357.0745,   476.215786,   
110.380016,   356.816,   601.226036,   
108.135516,   356.5575,   726.236286,   
241.120141,   108.828875,   477.957036,   
238.875641,   108.570375,   602.967286,   
236.631141,   108.311875,   727.977536,   
239.368766,   233.83625,   478.205786,   
237.124266,   233.57775,   603.216036,   
234.879766,   233.31925,   728.226286,   
237.617391,   358.843625,   478.454536,   
235.372891,   358.585125,   603.464786,   
233.128391,   358.326625,   728.475036,   
366.113016,   110.598,   480.195786,   
363.868516,   110.3395,   605.206036,   
361.624016,   110.081,   730.216286,   
364.361641,   235.605375,   480.444536,   
362.117141,   235.346875,   605.454786,   
359.872641,   235.088375,   730.465036,   
362.610266,   360.61275,   480.693286,   
360.365766,   360.35425,   605.703536,   
358.121266,   360.09575,   730.713786,   
116.839155,   89.799081,   597.380932,   
114.599155,   91.702831,   722.388307,   
112.359155,   93.606581,   847.395682,   
114.58353,   214.826206,   595.398432,   
112.34353,   216.729956,   720.405807,   
110.10353,   218.633706,   845.413182,   
112.327905,   339.853331,   593.415932,   
110.087905,   341.757081,   718.423307,   
107.847905,   343.660831,   843.430682,   
241.76353,   92.070456,   599.607057,   
239.52353,   93.974206,   724.614432,   
237.28353,   95.877956,   849.621807,   
239.507905,   217.097581,   597.624557,   
237.267905,   219.001331,   722.631932,   
235.027905,   220.905081,   847.639307,   
237.25228,   342.124706,   595.642057,   
235.01228,   344.028456,   720.649432,   
232.77228,   345.932206,   845.656807,   
366.687905,   94.341831,   601.833182,   
364.447905,   96.245581,   726.840557,   
362.207905,   98.149331,   851.847932,   
364.43228,   219.368956,   599.850682,   
362.19228,   221.272706,   724.858057,   
359.95228,   223.176456,   849.865432,   
362.176655,   344.396081,   597.868182,   
359.936655,   346.299831,   722.875557,   
357.696655,   348.203581,   847.882932,   
96.144328,   249.753321,   100.668645,   
96.406328,   247.631321,   225.692645,   
96.668328,   245.509321,   350.716645,   
96.507328,   374.777821,   102.797145,   
96.769328,   372.655821,   227.821145,   
97.031328,   370.533821,   352.845145,   
96.870328,   499.802321,   104.925645,   
97.132328,   497.680321,   229.949645,   
97.394328,   495.558321,   354.973645,   
221.151328,   249.372196,   100.29977,   
221.413328,   247.250196,   225.32377,   
221.675328,   245.128196,   350.34777,   
221.514328,   374.396696,   102.42827,   
221.776328,   372.274696,   227.45227,   
222.038328,   370.152696,   352.47627,   
221.877328,   499.421196,   104.55677,   
222.139328,   497.299196,   229.58077,   
222.401328,   495.177196,   354.60477,   
346.158328,   248.991071,   99.930895,   
346.420328,   246.869071,   224.954895,   
346.682328,   244.747071,   349.978895,   
346.521328,   374.015571,   102.059395,   
346.783328,   371.893571,   227.083395,   
347.045328,   369.771571,   352.107395,   
346.884328,   499.040071,   104.187895,   
347.146328,   496.918071,   229.211895,   
347.408328,   494.796071,   354.235895,   
65.870265,   243.509505,   229.253835,   
69.246015,   241.512505,   354.237335,   
72.621765,   239.515505,   479.220835,   
65.747515,   368.502005,   231.253835,   
69.123265,   366.505005,   356.237335,   
72.499015,   364.508005,   481.220835,   
65.624765,   493.494505,   233.253835,   
69.000515,   491.497505,   358.237335,   
72.376265,   489.500505,   483.220835,   
190.861265,   243.664505,   225.878835,   
194.237015,   241.667505,   350.862335,   
197.612765,   239.670505,   475.845835,   
190.738515,   368.657005,   227.878835,   
194.114265,   366.660005,   352.862335,   
197.490015,   364.663005,   477.845835,   
190.615765,   493.649505,   229.878835,   
193.991515,   491.652505,   354.862335,   
197.367265,   489.655505,   479.845835,   
315.852265,   243.819505,   222.503835,   
319.228015,   241.822505,   347.487335,   
322.603765,   239.825505,   472.470835,   
315.729515,   368.812005,   224.503835,   
319.105265,   366.815005,   349.487335,   
322.481015,   364.818005,   474.470835,   
315.606765,   493.804505,   226.503835,   
318.982515,   491.807505,   351.487335,   
322.358265,   489.810505,   476.470835,   
69.011596,   207.005436,   341.215336,   
71.628471,   209.647936,   466.223336,   
74.245346,   212.290436,   591.231336,   
67.022971,   331.985561,   338.582086,   
69.639846,   334.628061,   463.590086,   
72.256721,   337.270561,   588.598086,   
65.034346,   456.965686,   335.948836,   
67.651221,   459.608186,   460.956836,   
70.268096,   462.250686,   585.964836,   
194.029221,   208.977436,   338.454336,   
196.646096,   211.619936,   463.462336,   
199.262971,   214.262436,   588.470336,   
192.040596,   333.957561,   335.821086,   
194.657471,   336.600061,   460.829086,   
197.274346,   339.242561,   585.837086,   
190.051971,   458.937686,   333.187836,   
