pa2-h-output-1.txt
EM pivot post est position: 187.385974482,	198.771610265,	193.334243132
Optical pivot post est position: 379.178708,	419.18130668,	-2803.68449593
69.543378,   99.086514,   97.689135,   
72.547128,   99.231514,   222.67426,   
75.550878,   99.376514,   347.659385,   
72.672628,   224.006764,   97.65451,   
75.676378,   224.151764,   222.639635,   
78.680128,   224.296764,   347.62476,   
75.801878,   348.927014,   97.619885,   
78.805628,   349.072014,   222.60501,   
81.809378,   349.217014,   347.590135,   
194.445128,   95.951764,   94.57826,   
197.448878,   96.096764,   219.563385,   
200.452628,   96.241764,   344.54851,   
197.574378,   220.872014,   94.543635,   
200.578128,   221.017014,   219.52876,   
203.581878,   221.162014,   344.513885,   
200.703628,   345.792264,   94.50901,   
203.707378,   345.937264,   219.494135,   
206.711128,   346.082264,   344.47926,   
319.346878,   92.817014,   91.467385,   
322.350628,   92.962014,   216.45251,   
325.354378,   93.107014,   341.437635,   
322.476128,   217.737264,   91.43276,   
325.479878,   217.882264,   216.417885,   
328.483628,   218.027264,   341.40301,   
325.605378,   342.657514,   91.398135,   
328.609128,   342.802514,   216.38326,   
331.612878,   342.947514,   341.368385,   
138.700869,   80.78503,   226.180876,   
135.343494,   82.439905,   351.101626,   
131.986119,   84.09478,   476.022376,   
140.810119,   205.79728,   224.548376,   
137.452744,   207.452155,   349.469126,   
134.095369,   209.10703,   474.389876,   
142.919369,   330.80953,   222.915876,   
139.561994,   332.464405,   347.836626,   
136.204619,   334.11928,   472.757376,   
263.592744,   78.752905,   229.547626,   
260.235369,   80.40778,   354.468376,   
256.877994,   82.062655,   479.389126,   
265.701994,   203.765155,   227.915126,   
262.344619,   205.42003,   352.835876,   
258.987244,   207.074905,   477.756626,   
267.811244,   328.777405,   226.282626,   
264.453869,   330.43228,   351.203376,   
261.096494,   332.087155,   476.124126,   
388.484619,   76.72078,   232.914376,   
385.127244,   78.375655,   357.835126,   
381.769869,   80.03053,   482.755876,   
390.593869,   201.73303,   231.281876,   
387.236494,   203.387905,   356.202626,   
383.879119,   205.04278,   481.123376,   
392.703119,   326.74528,   229.649376,   
389.345744,   328.400155,   354.570126,   
385.988369,   330.05503,   479.490876,   
118.319124,   78.384729,   348.548811,   
116.184749,   81.125979,   473.530436,   
114.050374,   83.867229,   598.512061,   
115.699749,   203.361604,   345.792811,   
113.565374,   206.102854,   470.774436,   
111.430999,   208.844104,   595.756061,   
113.080374,   328.338479,   343.036811,   
110.945999,   331.079729,   468.018436,   
108.811624,   333.820979,   593.000061,   
243.303874,   81.021979,   350.659811,   
241.169499,   83.763229,   475.641436,   
239.035124,   86.504479,   600.623061,   
240.684499,   205.998854,   347.903811,   
238.550124,   208.740104,   472.885436,   
236.415749,   211.481354,   597.867061,   
238.065124,   330.975729,   345.147811,   
235.930749,   333.716979,   470.129436,   
233.796374,   336.458229,   595.111061,   
368.288624,   83.659229,   352.770811,   
366.154249,   86.400479,   477.752436,   
364.019874,   89.141729,   602.734061,   
365.669249,   208.636104,   350.014811,   
363.534874,   211.377354,   474.996436,   
361.400499,   214.118604,   599.978061,   
363.049874,   333.612979,   347.258811,   
360.915499,   336.354229,   472.240436,   
358.781124,   339.095479,   597.222061,   
73.364386,   66.540437,   469.333842,   
76.475511,   70.050937,   594.250467,   
79.586636,   73.561437,   719.167092,   
74.364761,   191.461187,   465.832717,   
77.475886,   194.971687,   590.749342,   
80.587011,   198.482187,   715.665967,   
75.365136,   316.381937,   462.331592,   
78.476261,   319.892437,   587.248217,   
81.587386,   323.402937,   712.164842,   
198.368886,   65.443562,   466.195342,   
201.480011,   68.954062,   591.111967,   
204.591136,   72.464562,   716.028592,   
199.369261,   190.364312,   462.694217,   
202.480386,   193.874812,   587.610842,   
205.591511,   197.385312,   712.527467,   
200.369636,   315.285062,   459.193092,   
203.480761,   318.795562,   584.109717,   
206.591886,   322.306062,   709.026342,   
323.373386,   64.346687,   463.056842,   
326.484511,   67.857187,   587.973467,   
329.595636,   71.367687,   712.890092,   
324.373761,   189.267437,   459.555717,   
327.484886,   192.777937,   584.472342,   
330.596011,   196.288437,   709.388967,   
325.374136,   314.188187,   456.054592,   
328.485261,   317.698687,   580.971217,   
331.596386,   321.209187,   705.887842,   
111.538814,   123.9042,   603.312944,   
109.532064,   121.53245,   728.335069,   
107.525314,   119.1607,   853.357194,   
109.278439,   248.8112,   605.681444,   
107.271689,   246.43945,   730.703569,   
105.264939,   244.0677,   855.725694,   
107.018064,   373.7182,   608.049944,   
105.011314,   371.34645,   733.072069,   
103.004564,   368.9747,   858.094194,   
236.538314,   126.0432,   605.418944,   
234.531564,   123.67145,   730.441069,   
232.524814,   121.2997,   855.463194,   
234.277939,   250.9502,   607.787444,   
232.271189,   248.57845,   732.809569,   
230.264439,   246.2067,   857.831694,   
232.017564,   375.8572,   610.155944,   
230.010814,   373.48545,   735.178069,   
228.004064,   371.1137,   860.200194,   
361.537814,   128.1822,   607.524944,   
359.531064,   125.81045,   732.547069,   
357.524314,   123.4387,   857.569194,   
359.277439,   253.0892,   609.893444,   
357.270689,   250.71745,   734.915569,   
355.263939,   248.3457,   859.937694,   
357.017064,   377.9962,   612.261944,   
355.010314,   375.62445,   737.284069,   
353.003564,   373.2527,   862.306194,   
133.098638,   230.514378,   104.317504,   
129.848388,   230.144378,   229.302254,   
126.598138,   229.774378,   354.287004,   
130.848638,   355.519378,   104.552504,   
127.598388,   355.149378,   229.537254,   
124.348138,   354.779378,   354.522004,   
128.598638,   480.524378,   104.787504,   
