pa2-i-output-1.txt
EM pivot post est position: 191.481832976,	198.121703058,	189.361205107
Optical pivot post est position: 411.906236154,	385.092994742,	-2808.97426551
78.896481,   76.889285,   97.038595,   
80.772981,   79.01241,   222.031095,   
82.649481,   81.135535,   347.023595,   
78.521481,   201.882285,   94.913595,   
80.397981,   204.00541,   219.906095,   
82.274481,   206.128535,   344.898595,   
78.146481,   326.875285,   92.788595,   
80.022981,   328.99841,   217.781095,   
81.899481,   331.121535,   342.773595,   
203.896981,   77.25491,   95.161095,   
205.773481,   79.378035,   220.153595,   
207.649981,   81.50116,   345.146095,   
203.521981,   202.24791,   93.036095,   
205.398481,   204.371035,   218.028595,   
207.274981,   206.49416,   343.021095,   
203.146981,   327.24091,   90.911095,   
205.023481,   329.364035,   215.903595,   
206.899981,   331.48716,   340.896095,   
328.897481,   77.620535,   93.283595,   
330.773981,   79.74366,   218.276095,   
332.650481,   81.866785,   343.268595,   
328.522481,   202.613535,   91.158595,   
330.398981,   204.73666,   216.151095,   
332.275481,   206.859785,   341.143595,   
328.147481,   327.606535,   89.033595,   
330.023981,   329.72966,   214.026095,   
331.900481,   331.852785,   339.018595,   
132.848346,   109.581275,   228.477512,   
129.734721,   108.4414,   353.467012,   
126.621096,   107.301525,   478.456512,   
135.960221,   234.491275,   229.760012,   
132.846596,   233.3514,   354.749512,   
129.732971,   232.211525,   479.739012,   
139.072096,   359.401275,   231.042512,   
135.958471,   358.2614,   356.032012,   
132.844846,   357.121525,   481.021512,   
257.734346,   106.4639,   231.617512,   
254.620721,   105.324025,   356.607012,   
251.507096,   104.18415,   481.596512,   
260.846221,   231.3739,   232.900012,   
257.732596,   230.234025,   357.889512,   
254.618971,   229.09415,   482.879012,   
263.958096,   356.2839,   234.182512,   
260.844471,   355.144025,   359.172012,   
257.730846,   354.00415,   484.161512,   
382.620346,   103.346525,   234.757512,   
379.506721,   102.20665,   359.747012,   
376.393096,   101.066775,   484.736512,   
385.732221,   228.256525,   236.040012,   
382.618596,   227.11665,   361.029512,   
379.504971,   225.976775,   486.019012,   
388.844096,   353.166525,   237.322512,   
385.730471,   352.02665,   362.312012,   
382.616846,   350.886775,   487.301512,   
96.036746,   118.949524,   351.316332,   
96.664371,   117.074399,   476.332832,   
97.291996,   115.199274,   601.349332,   
98.052496,   243.967399,   353.178582,   
98.680121,   242.092274,   478.195082,   
99.307746,   240.217149,   603.211582,   
100.068246,   368.985274,   355.040832,   
100.695871,   367.110149,   480.057332,   
101.323496,   365.235024,   605.073832,   
221.038871,   116.949524,   350.579082,   
221.666496,   115.074399,   475.595582,   
222.294121,   113.199274,   600.612082,   
223.054621,   241.967399,   352.441332,   
223.682246,   240.092274,   477.457832,   
224.309871,   238.217149,   602.474332,   
225.070371,   366.985274,   354.303582,   
225.697996,   365.110149,   479.320082,   
226.325621,   363.235024,   604.336582,   
346.040996,   114.949524,   349.841832,   
346.668621,   113.074399,   474.858332,   
347.296246,   111.199274,   599.874832,   
348.056746,   239.967399,   351.704082,   
348.684371,   238.092274,   476.720582,   
349.311996,   236.217149,   601.737082,   
350.072496,   364.985274,   353.566332,   
350.700121,   363.110149,   478.582832,   
351.327746,   361.235024,   603.599332,   
120.966508,   121.70866,   480.36602,   
118.483508,   118.93366,   605.37102,   
116.000508,   116.15866,   730.37602,   
121.102758,   246.70641,   483.235395,   
118.619758,   243.93141,   608.240395,   
116.136758,   241.15641,   733.245395,   
121.239008,   371.70416,   486.10477,   
118.756008,   368.92916,   611.10977,   
116.273008,   366.15416,   736.11477,   
245.991133,   121.568035,   482.860395,   
243.508133,   118.793035,   607.865395,   
241.025133,   116.018035,   732.870395,   
246.127383,   246.565785,   485.72977,   
243.644383,   243.790785,   610.73477,   
241.161383,   241.015785,   735.73977,   
246.263633,   371.563535,   488.599145,   
243.780633,   368.788535,   613.604145,   
241.297633,   366.013535,   738.609145,   
371.015758,   121.42741,   485.35477,   
368.532758,   118.65241,   610.35977,   
366.049758,   115.87741,   735.36477,   
371.152008,   246.42516,   488.224145,   
368.669008,   243.65016,   613.229145,   
366.186008,   240.87516,   738.234145,   
371.288258,   371.42291,   491.09352,   
368.805258,   368.64791,   616.09852,   
366.322258,   365.87291,   741.10352,   
97.626589,   97.132706,   597.817508,   
98.626214,   98.006956,   722.817008,   
99.625839,   98.881206,   847.816508,   
101.002339,   222.124706,   596.924508,   
102.001964,   222.998956,   721.924008,   
103.001589,   223.873206,   846.923508,   
104.378089,   347.116706,   596.031508,   
105.377714,   347.990956,   721.031008,   
106.377339,   348.865206,   846.030508,   
222.616089,   93.755706,   596.841508,   
223.615714,   94.629956,   721.841008,   
224.615339,   95.504206,   846.840508,   
225.991839,   218.747706,   595.948508,   
226.991464,   219.621956,   720.948008,   
227.991089,   220.496206,   845.947508,   
229.367589,   343.739706,   595.055508,   
230.367214,   344.613956,   720.055008,   
231.366839,   345.488206,   845.054508,   
347.605589,   90.378706,   595.865508,   
348.605214,   91.252956,   720.865008,   
349.604839,   92.127206,   845.864508,   
350.981339,   215.370706,   594.972508,   
351.980964,   216.244956,   719.972008,   
352.980589,   217.119206,   844.971508,   
354.357089,   340.362706,   594.079508,   
355.356714,   341.236956,   719.079008,   
356.356339,   342.111206,   844.078508,   
112.286759,   226.507467,   100.769851,   
110.660884,   226.740842,   225.783976,   
109.035009,   226.974217,   350.798101,   
109.036009,   351.490717,   100.534101,   
107.410134,   351.724092,   225.548226,   
105.784259,   351.957467,   350.562351,   
105.785259,   476.473967,   100.298351,   
104.159384,   476.707342,   225.312476,   
102.533509,   476.940717,   350.326601,   
237.284384,   229.759842,   102.392476,   
235.658509,   229.993217,   227.406601,   
234.032634,   230.226592,   352.420726,   
234.033634,   354.743092,   102.156726,   
232.407759,   354.976467,   227.170851,   
230.781884,   355.209842,   352.184976,   
230.782884,   479.726342,   101.920976,   
229.157009,   479.959717,   226.935101,   
227.531134,   480.193092,   351.949226,   
362.282009,   233.012217,   104.015101,   
360.656134,   233.245592,   229.029226,   
359.030259,   233.478967,   354.043351,   
359.031259,   357.995467,   103.779351,   
357.405384,   358.228842,   228.793476,   
355.779509,   358.462217,   353.807601,   
355.780509,   482.978717,   103.543601,   
354.154634,   483.212092,   228.557726,   
352.528759,   483.445467,   353.571851,   
72.106038,   250.094857,   228.300844,   
74.877288,   247.618732,   353.184469,   
77.648538,   245.142607,   478.068094,   
73.100788,   375.113482,   230.804844,   
75.872038,   372.637357,   355.688469,   
78.643288,   370.161232,   480.572094,   
74.095538,   500.132107,   233.308844,   
76.866788,   497.655982,   358.192469,   
79.638038,   495.179857,   483.076094,   
197.127288,   249.216732,   225.427719,   
199.898538,   246.740607,   350.311344,   
