pa2-j-output-1.txt
EM pivot post est position: 194.120058425,	201.981236144,	192.668180364
Optical pivot post est position: 405.667679475,	392.752121987,	-2807.68841309
109.438021,   85.880592,   101.636768,   
108.428021,   87.129592,   226.635893,   
107.418021,   88.378592,   351.635018,   
108.821771,   210.883592,   100.389393,   
107.811771,   212.132592,   225.388518,   
106.801771,   213.381592,   350.387643,   
108.205521,   335.886592,   99.142018,   
107.195521,   337.135592,   224.141143,   
106.185521,   338.384592,   349.140268,   
234.440146,   86.505592,   102.636768,   
233.430146,   87.754592,   227.635893,   
232.420146,   89.003592,   352.635018,   
233.823896,   211.508592,   101.389393,   
232.813896,   212.757592,   226.388518,   
231.803896,   214.006592,   351.387643,   
233.207646,   336.511592,   100.142018,   
232.197646,   337.760592,   225.141143,   
231.187646,   339.009592,   350.140268,   
359.442271,   87.130592,   103.636768,   
358.432271,   88.379592,   228.635893,   
357.422271,   89.628592,   353.635018,   
358.826021,   212.133592,   102.389393,   
357.816021,   213.382592,   227.388518,   
356.806021,   214.631592,   352.387643,   
358.209771,   337.136592,   101.142018,   
357.199771,   338.385592,   226.141143,   
356.189771,   339.634592,   351.140268,   
73.59549,   115.375155,   225.13734,   
76.46674,   113.49203,   350.11484,   
79.33799,   111.608905,   475.09234,   
73.22674,   240.37453,   227.02359,   
76.09799,   238.491405,   352.00109,   
78.96924,   236.60828,   476.97859,   
72.85799,   365.373905,   228.90984,   
75.72924,   363.49078,   353.88734,   
78.60049,   361.607655,   478.86484,   
198.58599,   115.891405,   222.27359,   
201.45724,   114.00828,   347.25109,   
204.32849,   112.125155,   472.22859,   
198.21724,   240.89078,   224.15984,   
201.08849,   239.007655,   349.13734,   
203.95974,   237.12453,   474.11484,   
197.84849,   365.890155,   226.04609,   
200.71974,   364.00703,   351.02359,   
203.59099,   362.123905,   476.00109,   
323.57649,   116.407655,   219.40984,   
326.44774,   114.52453,   344.38734,   
329.31899,   112.641405,   469.36484,   
323.20774,   241.40703,   221.29609,   
326.07899,   239.523905,   346.27359,   
328.95024,   237.64078,   471.25109,   
322.83899,   366.406405,   223.18234,   
325.71024,   364.52328,   348.15984,   
328.58149,   362.640155,   473.13734,   
106.78095,   96.338147,   349.768325,   
106.0347,   96.842647,   474.76895,   
105.28845,   97.347147,   599.769575,   
106.65595,   221.344022,   349.268325,   
105.9097,   221.848522,   474.26895,   
105.16345,   222.353022,   599.269575,   
106.53095,   346.349897,   348.768325,   
105.7847,   346.854397,   473.76895,   
105.03845,   347.358897,   598.769575,   
231.7862,   96.462397,   350.5192,   
231.03995,   96.966897,   475.519825,   
230.2937,   97.471397,   600.52045,   
231.6612,   221.468272,   350.0192,   
230.91495,   221.972772,   475.019825,   
230.1687,   222.477272,   600.02045,   
231.5362,   346.474147,   349.5192,   
230.78995,   346.978647,   474.519825,   
230.0437,   347.483147,   599.52045,   
356.79145,   96.586647,   351.270075,   
356.0452,   97.091147,   476.2707,   
355.29895,   97.595647,   601.271325,   
356.66645,   221.592522,   350.770075,   
355.9202,   222.097022,   475.7707,   
355.17395,   222.601522,   600.771325,   
356.54145,   346.598397,   350.270075,   
355.7952,   347.102897,   475.2707,   
355.04895,   347.607397,   600.271325,   
112.360678,   82.925471,   474.633172,   
111.122553,   84.935471,   599.652297,   
109.884428,   86.945471,   724.671422,   
113.346428,   207.930721,   472.630922,   
112.108303,   209.940721,   597.650047,   
110.870178,   211.950721,   722.669172,   
114.332178,   332.935971,   470.628672,   
113.094053,   334.945971,   595.647797,   
111.855928,   336.955971,   720.666922,   
237.371428,   82.044471,   475.882422,   
236.133303,   84.054471,   600.901547,   
234.895178,   86.064471,   725.920672,   
238.357178,   207.049721,   473.880172,   
237.119053,   209.059721,   598.899297,   
235.880928,   211.069721,   723.918422,   
239.342928,   332.054971,   471.877922,   
238.104803,   334.064971,   596.897047,   
236.866678,   336.074971,   721.916172,   
362.382178,   81.163471,   477.131672,   
361.144053,   83.173471,   602.150797,   
359.905928,   85.183471,   727.169922,   
363.367928,   206.168721,   475.129422,   
362.129803,   208.178721,   600.148547,   
360.891678,   210.188721,   725.167672,   
364.353678,   331.173971,   473.127172,   
363.115553,   333.183971,   598.146297,   
361.877428,   335.193971,   723.165422,   
97.697766,   92.313286,   598.083491,   
98.320516,   93.942786,   723.080491,   
98.943266,   95.572286,   848.077491,   
99.823141,   217.326786,   596.461366,   
100.445891,   218.956286,   721.458366,   
101.068641,   220.585786,   846.455366,   
101.948516,   342.340286,   594.839241,   
102.571266,   343.969786,   719.836241,   
103.194016,   345.599286,   844.833241,   
222.715766,   90.180786,   597.487241,   
223.338516,   91.810286,   722.484241,   
223.961266,   93.439786,   847.481241,   
224.841141,   215.194286,   595.865116,   
225.463891,   216.823786,   720.862116,   
226.086641,   218.453286,   845.859116,   
226.966516,   340.207786,   594.242991,   
227.589266,   341.837286,   719.239991,   
228.212016,   343.466786,   844.236991,   
347.733766,   88.048286,   596.890991,   
348.356516,   89.677786,   721.887991,   
348.979266,   91.307286,   846.884991,   
349.859141,   213.061786,   595.268866,   
350.481891,   214.691286,   720.265866,   
351.104641,   216.320786,   845.262866,   
351.984516,   338.075286,   593.646741,   
352.607266,   339.704786,   718.643741,   
353.230016,   341.334286,   843.640741,   
113.152222,   203.626558,   99.125883,   
111.522222,   205.872058,   224.142133,   
109.892222,   208.117558,   349.158383,   
110.264722,   328.626308,   96.889008,   
108.634722,   330.871808,   221.905258,   
107.004722,   333.117308,   346.921508,   
107.377222,   453.626058,   94.652133,   
105.747222,   455.871558,   219.668383,   
104.117222,   458.117058,   344.684633,   
238.157597,   206.497308,   100.631133,   
236.527597,   208.742808,   225.647383,   
234.897597,   210.988308,   350.663633,   
235.270097,   331.497058,   98.394258,   
233.640097,   333.742558,   223.410508,   
232.010097,   335.988058,   348.426758,   
232.382597,   456.496808,   96.157383,   
230.752597,   458.742308,   221.173633,   
229.122597,   460.987808,   346.189883,   
363.162972,   209.368058,   102.136383,   
361.532972,   211.613558,   227.152633,   
359.902972,   213.859058,   352.168883,   
360.275472,   334.367808,   99.899508,   
358.645472,   336.613308,   224.915758,   
357.015472,   338.858808,   349.932008,   
357.387972,   459.367558,   97.662633,   
355.757972,   461.613058,   222.678883,   
354.127972,   463.858558,   347.695133,   
66.09344,   256.017257,   226.232027,   
69.60944,   253.032382,   351.150152,   
73.12544,   250.047507,   476.068277,   
68.32894,   380.929507,   229.118902,   
71.84494,   377.944632,   354.037027,   
75.36094,   374.959757,   478.955152,   
70.56444,   505.841757,   232.005777,   
74.08044,   502.856882,   356.923902,   
77.59644,   499.872007,   481.842027,   
190.99544,   253.862882,   222.624902,   
194.51144,   250.878007,   347.543027,   
